# 7SD82-DIF-loopback — Siemens 7SD82 SIPROTEC 5 line differential
# generated 2026-09-05 12:28 from 7SD82.html
# configuration: kv=110; freq=50; len=15; type=cable; iref=600; ich=25; ctAp=600; ctAs=1; ctAstar=line; ctBp=600; ctBs=1; ctBstar=line; stage=loop; vtp=110000; vts=100; vtc=wye; comm=fibre; tprop=0.5; tasym=0.2; sync=pp; cmc=6x; imax=12.5; vmax=300
# All quantities are SECONDARY at the relay terminals. Angles in degrees, CCW positive, V L1 = 0.
# Values shown are for the tool's sample configuration — re-generate after entering real station data.
# Staging is loop. Steps marked "both ends" in CurrentNeededAt need current at the remote end;
# at local-end staging they cannot be run and must be recorded as untested, not as passed.
Element,ElementName,Group,TU_Module,DriveAs,Step,StepName,SeqRun,SeqState,SeqLabel,StateDuration_s,Channel,Magnitude,Unit,Angle_deg,Frequency_Hz,ChannelNote,Expected,ExpectedDetail,Verdict,CurrentNeededAt
87L,Line differential,Differential,Differential,characteristic,1,Minimum pickup — above,,,,,V L1,57.735,V,0.00,50.000,,OPERATE,Operate — no intentional delay,op,
87L,Line differential,Differential,Differential,characteristic,1,Minimum pickup — above,,,,,V L2,57.735,V,-120.00,50.000,,OPERATE,Operate — no intentional delay,op,
87L,Line differential,Differential,Differential,characteristic,1,Minimum pickup — above,,,,,V L3,57.735,V,120.00,50.000,,OPERATE,Operate — no intentional delay,op,
87L,Line differential,Differential,Differential,characteristic,1,Minimum pickup — above,,,,,I A-L1,0.3450,A,0.00,50.000,end A,OPERATE,Operate — no intentional delay,op,
87L,Line differential,Differential,Differential,characteristic,1,Minimum pickup — above,,,,,I A-L2,0.3450,A,-120.00,50.000,end A,OPERATE,Operate — no intentional delay,op,
87L,Line differential,Differential,Differential,characteristic,1,Minimum pickup — above,,,,,I A-L3,0.3450,A,120.00,50.000,end A,OPERATE,Operate — no intentional delay,op,
87L,Line differential,Differential,Differential,characteristic,1,Minimum pickup — above,,,,,I B-L1,0.0000,A,0.00,50.000,end B,OPERATE,Operate — no intentional delay,op,
87L,Line differential,Differential,Differential,characteristic,1,Minimum pickup — above,,,,,I B-L2,0.0000,A,0.00,50.000,end B,OPERATE,Operate — no intentional delay,op,
87L,Line differential,Differential,Differential,characteristic,1,Minimum pickup — above,,,,,I B-L3,0.0000,A,0.00,50.000,end B,OPERATE,Operate — no intentional delay,op,
87L,Line differential,Differential,Differential,characteristic,2,Minimum pickup — below,,,,,V L1,57.735,V,0.00,50.000,,RESTRAIN,No operation,no,
87L,Line differential,Differential,Differential,characteristic,2,Minimum pickup — below,,,,,V L2,57.735,V,-120.00,50.000,,RESTRAIN,No operation,no,
87L,Line differential,Differential,Differential,characteristic,2,Minimum pickup — below,,,,,V L3,57.735,V,120.00,50.000,,RESTRAIN,No operation,no,
87L,Line differential,Differential,Differential,characteristic,2,Minimum pickup — below,,,,,I A-L1,0.2550,A,0.00,50.000,end A,RESTRAIN,No operation,no,
87L,Line differential,Differential,Differential,characteristic,2,Minimum pickup — below,,,,,I A-L2,0.2550,A,-120.00,50.000,end A,RESTRAIN,No operation,no,
