# 7SD82-DIF-loopback — Siemens 7SD82 SIPROTEC 5 line differential
# generated 2026-09-05 12:28 from 7SD82.html
# configuration: kv=110; freq=50; len=15; type=cable; iref=600; ich=25; ctAp=600; ctAs=1; ctAstar=line; ctBp=600; ctBs=1; ctBstar=line; stage=loop; vtp=110000; vts=100; vtc=wye; comm=fibre; tprop=0.5; tasym=0.2; sync=pp; cmc=6x; imax=12.5; vmax=300
# All quantities are SECONDARY at the relay terminals. Angles in degrees, CCW positive, V L1 = 0.
# Values shown are for the tool's sample configuration — re-generate after entering real station data.
# Staging is loop. Steps marked "both ends" in CurrentNeededAt need current at the remote end;
# at local-end staging they cannot be run and must be recorded as untested, not as passed.
Element,ElementName,TU_Module,DriveAs,Step,StepName,WhatIsApplied,SeqRun,SeqState,StateDuration_s,V_L1,V_L2,V_L3,V_4,I_L1,I_L2,I_L3,I_B_L1,I_B_L2,I_B_L3,Freq_Hz,CurrentNeededAt,Reachable,Expected,ExpectedDetail,Measured,PassFail
87L,Line differential,Differential,characteristic,1,Minimum pickup — above,"End A alone at 0.345 pu, end B quiescent. The whole injected current is differential.",,,,57.735@0.0,57.735@-120.0,57.735@120.0,,0.3450@0.0,0.3450@-120.0,0.3450@120.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,50.000,,yes,OPERATE,Operate — no intentional delay,,
87L,Line differential,Differential,characteristic,2,Minimum pickup — below,"End A alone at 0.255 pu, end B quiescent. The whole injected current is differential.",,,,57.735@0.0,57.735@-120.0,57.735@120.0,,0.2550@0.0,0.2550@-120.0,0.2550@120.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,50.000,,yes,RESTRAIN,No operation,,
87L,Line differential,Differential,characteristic,3,Slope at Irest 1.0 pu — above,"Required Idiff 0.300 pu, applied 0.345 pu. End A 0.672 pu, end B 0.328 pu opposed.",,,,57.735@0.0,57.735@-120.0,57.735@120.0,,0.6725@0.0,0.6725@-120.0,0.6725@120.0,0.3275@180.0,0.3275@60.0,0.3275@-60.0,50.000,both ends,yes,OPERATE,Operate — no intentional delay,,
87L,Line differential,Differential,characteristic,4,Slope at Irest 1.0 pu — below,"Required Idiff 0.300 pu, applied 0.255 pu. End A 0.627 pu, end B 0.372 pu opposed.",,,,57.735@0.0,57.735@-120.0,57.735@120.0,,0.6275@0.0,0.6275@-120.0,0.6275@120.0,0.3725@180.0,0.3725@60.0,0.3725@-60.0,50.000,both ends,yes,RESTRAIN,No operation,,
87L,Line differential,Differential,characteristic,5,Slope at Irest 3.0 pu — above,"Required Idiff 0.900 pu, applied 1.035 pu. End A 2.018 pu, end B 0.983 pu opposed.",,,,57.735@0.0,57.735@-120.0,57.735@120.0,,2.0175@0.0,2.0175@-120.0,2.0175@120.0,0.9825@180.0,0.9825@60.0,0.9825@-60.0,50.000,both ends,yes,OPERATE,Operate — no intentional delay,,
87L,Line differential,Differential,characteristic,6,Slope at Irest 3.0 pu — below,"Required Idiff 0.900 pu, applied 0.765 pu. End A 1.882 pu, end B 1.118 pu opposed.",,,,57.735@0.0,57.735@-120.0,57.735@120.0,,1.8825@0.0,1.8825@-120.0,1.8825@120.0,1.1175@180.0,1.1175@60.0,1.1175@-60.0,50.000,both ends,yes,RESTRAIN,No operation,,
87L,Line differential,Differential,characteristic,7,Slope at Irest 8.0 pu — above,"Required Idiff 3.200 pu, applied 3.680 pu. End A 5.840 pu, end B 2.160 pu opposed.",,,,57.735@0.0,57.735@-120.0,57.735@120.0,,5.8400@0.0,5.8400@-120.0,5.8400@120.0,2.1600@180.0,2.1600@60.0,2.1600@-60.0,50.000,both ends,yes,OPERATE,Operate — no intentional delay,,
87L,Line differential,Differential,characteristic,8,Slope at Irest 8.0 pu — below,"Required Idiff 3.200 pu, applied 2.720 pu. End A 5.360 pu, end B 2.640 pu opposed.",,,,57.735@0.0,57.735@-120.0,57.735@120.0,,5.3600@0.0,5.3600@-120.0,5.3600@120.0,2.6400@180.0,2.6400@60.0,2.6400@-60.0,50.000,both ends,yes,RESTRAIN,No operation,,
87L,Line differential,Differential,characteristic,9,Through-current stability,Both ends matched and opposed at 8.0 pu — an external fault. This is the polarity and ratio test.,,,,57.735@0.0,57.735@-120.0,57.735@120.0,,8.0000@0.0,8.0000@-120.0,8.0000@120.0,8.0000@180.0,8.0000@60.0,8.0000@-60.0,50.000,both ends,yes,RESTRAIN,Zero differential; any standing value is a wiring or ratio error,,
87L,Line differential,Differential,characteristic,10,Internal fault,Both ends feeding into the line at 4.0 pu — the condition the scheme exists for.,,,,57.735@0.0,57.735@-120.0,57.735@120.0,,4.0000@0.0,4.0000@-120.0,4.0000@120.0,4.0000@0.0,4.0000@-120.0,4.0000@120.0,50.000,both ends,yes,OPERATE,Idiff equals the sum of both infeeds,,
