# 7SJ85-SIP — Siemens 7SJ85 SIPROTEC 5 overcurrent
# generated 2026-09-15 01:41 from src/7sj85-sip.html
# configuration: kv=20; freq=50; rot=ABC; gnd=res; load=180; lpf=0.9; len=12; unit=km; z1m=0.12; z1a=72; z0m=0.38; z0a=68; ctp=400; cts=1; ctstar=line; ctgp=60; ctgs=1; i0src=cb; vtp=20000; vts=100; vtc=wye; v0src=bd; bdr=100; zsrc=I; zhold=1; cmc=3x; imax=32; vmax=300
# All quantities are SECONDARY at the relay terminals. Angles in degrees, CCW positive, V L1 = 0.
# Values shown are for the tool's sample configuration — re-generate after entering real station data.
Element,ElementName,Group,TU_Module,DriveAs,Step,StepName,SeqRun,SeqState,SeqLabel,StateDuration_s,Channel,Magnitude,Unit,Angle_deg,Frequency_Hz,ChannelNote,Expected,ExpectedDetail,Verdict,CurrentNeededAt
67Ns,Sensitive directional ground fault,Ground fault,Quick CMC,points,1,Forward — full component,,,,,V L1,0.000,V,0.00,50.000,"faulted phase, collapsed",OPERATE,Component 60.0 mA against a 15.0 mA threshold,op,
67Ns,Sensitive directional ground fault,Ground fault,Quick CMC,points,1,Forward — full component,,,,,V L2,100.000,V,-150.00,50.000,,OPERATE,Component 60.0 mA against a 15.0 mA threshold,op,
67Ns,Sensitive directional ground fault,Ground fault,Quick CMC,points,1,Forward — full component,,,,,V L3,100.000,V,150.00,50.000,,OPERATE,Component 60.0 mA against a 15.0 mA threshold,op,
67Ns,Sensitive directional ground fault,Ground fault,Quick CMC,points,1,Forward — full component,,,,,V 4,100.000,V,180.00,50.000,displacement voltage 3V0 — broken delta,OPERATE,Component 60.0 mA against a 15.0 mA threshold,op,
67Ns,Sensitive directional ground fault,Ground fault,Quick CMC,points,1,Forward — full component,,,,,I L1,0.0000,A,0.00,50.000,,OPERATE,Component 60.0 mA against a 15.0 mA threshold,op,
67Ns,Sensitive directional ground fault,Ground fault,Quick CMC,points,1,Forward — full component,,,,,I L2,0.0000,A,0.00,50.000,,OPERATE,Component 60.0 mA against a 15.0 mA threshold,op,
67Ns,Sensitive directional ground fault,Ground fault,Quick CMC,points,1,Forward — full component,,,,,I L3,0.0000,A,0.00,50.000,,OPERATE,Component 60.0 mA against a 15.0 mA threshold,op,
67Ns,Sensitive directional ground fault,Ground fault,Quick CMC,points,1,Forward — full component,,,,,I aux,0.0600,A,0.00,50.000,core-balance CT input (3I0),OPERATE,Component 60.0 mA against a 15.0 mA threshold,op,
67Ns,Sensitive directional ground fault,Ground fault,Quick CMC,points,2,Reverse,,,,,V L1,0.000,V,0.00,50.000,"faulted phase, collapsed",RESTRAIN,No operation in the reverse half-plane,no,
67Ns,Sensitive directional ground fault,Ground fault,Quick CMC,points,2,Reverse,,,,,V L2,100.000,V,-150.00,50.000,,RESTRAIN,No operation in the reverse half-plane,no,
67Ns,Sensitive directional ground fault,Ground fault,Quick CMC,points,2,Reverse,,,,,V L3,100.000,V,150.00,50.000,,RESTRAIN,No operation in the reverse half-plane,no,
67Ns,Sensitive directional ground fault,Ground fault,Quick CMC,points,2,Reverse,,,,,V 4,100.000,V,180.00,50.000,displacement voltage 3V0 — broken delta,RESTRAIN,No operation in the reverse half-plane,no,
67Ns,Sensitive directional ground fault,Ground fault,Quick CMC,points,2,Reverse,,,,,I L1,0.0000,A,0.00,50.000,,RESTRAIN,No operation in the reverse half-plane,no,
67Ns,Sensitive directional ground fault,Ground fault,Quick CMC,points,2,Reverse,,,,,I L2,0.0000,A,0.00,50.000,,RESTRAIN,No operation in the reverse half-plane,no,
67Ns,Sensitive directional ground fault,Ground fault,Quick CMC,points,2,Reverse,,,,,I L3,0.0000,A,0.00,50.000,,RESTRAIN,No operation in the reverse half-plane,no,
67Ns,Sensitive directional ground fault,Ground fault,Quick CMC,points,2,Reverse,,,,,I aux,0.0600,A,180.00,50.000,core-balance CT input (3I0),RESTRAIN,No operation in the reverse half-plane,no,
67Ns,Sensitive directional ground fault,Ground fault,Quick CMC,points,3,"Sector edge, leading side (inside)",,,,,V L1,0.000,V,0.00,50.000,"faulted phase, collapsed",OPERATE,Component still above the 15.0 mA threshold,op,
67Ns,Sensitive directional ground fault,Ground fault,Quick CMC,points,3,"Sector edge, leading side (inside)",,,,,V L2,100.000,V,-150.00,50.000,,OPERATE,Component still above the 15.0 mA threshold,op,
67Ns,Sensitive directional ground fault,Ground fault,Quick CMC,points,3,"Sector edge, leading side (inside)",,,,,V L3,100.000,V,150.00,50.000,,OPERATE,Component still above the 15.0 mA threshold,op,
67Ns,Sensitive directional ground fault,Ground fault,Quick CMC,points,3,"Sector edge, leading side (inside)",,,,,V 4,100.000,V,180.00,50.000,displacement voltage 3V0 — broken delta,OPERATE,Component still above the 15.0 mA threshold,op,
67Ns,Sensitive directional ground fault,Ground fault,Quick CMC,points,3,"Sector edge, leading side (inside)",,,,,I L1,0.0000,A,0.00,50.000,,OPERATE,Component still above the 15.0 mA threshold,op,
67Ns,Sensitive directional ground fault,Ground fault,Quick CMC,points,3,"Sector edge, leading side (inside)",,,,,I L2,0.0000,A,0.00,50.000,,OPERATE,Component still above the 15.0 mA threshold,op,
67Ns,Sensitive directional ground fault,Ground fault,Quick CMC,points,3,"Sector edge, leading side (inside)",,,,,I L3,0.0000,A,0.00,50.000,,OPERATE,Component still above the 15.0 mA threshold,op,
67Ns,Sensitive directional ground fault,Ground fault,Quick CMC,points,3,"Sector edge, leading side (inside)",,,,,I aux,0.0600,A,67.52,50.000,core-balance CT input (3I0),OPERATE,Component still above the 15.0 mA threshold,op,
67Ns,Sensitive directional ground fault,Ground fault,Quick CMC,points,4,"Sector edge, leading side (outside)",,,,,V L1,0.000,V,0.00,50.000,"faulted phase, collapsed",RESTRAIN,Component has fallen under the threshold,no,
67Ns,Sensitive directional ground fault,Ground fault,Quick CMC,points,4,"Sector edge, leading side (outside)",,,,,V L2,100.000,V,-150.00,50.000,,RESTRAIN,Component has fallen under the threshold,no,
67Ns,Sensitive directional ground fault,Ground fault,Quick CMC,points,4,"Sector edge, leading side (outside)",,,,,V L3,100.000,V,150.00,50.000,,RESTRAIN,Component has fallen under the threshold,no,
67Ns,Sensitive directional ground fault,Ground fault,Quick CMC,points,4,"Sector edge, leading side (outside)",,,,,V 4,100.000,V,180.00,50.000,displacement voltage 3V0 — broken delta,RESTRAIN,Component has fallen under the threshold,no,
67Ns,Sensitive directional ground fault,Ground fault,Quick CMC,points,4,"Sector edge, leading side (outside)",,,,,I L1,0.0000,A,0.00,50.000,,RESTRAIN,Component has fallen under the threshold,no,
67Ns,Sensitive directional ground fault,Ground fault,Quick CMC,points,4,"Sector edge, leading side (outside)",,,,,I L2,0.0000,A,0.00,50.000,,RESTRAIN,Component has fallen under the threshold,no,
67Ns,Sensitive directional ground fault,Ground fault,Quick CMC,points,4,"Sector edge, leading side (outside)",,,,,I L3,0.0000,A,0.00,50.000,,RESTRAIN,Component has fallen under the threshold,no,
67Ns,Sensitive directional ground fault,Ground fault,Quick CMC,points,4,"Sector edge, leading side (outside)",,,,,I aux,0.0600,A,83.52,50.000,core-balance CT input (3I0),RESTRAIN,Component has fallen under the threshold,no,
67Ns,Sensitive directional ground fault,Ground fault,Quick CMC,points,5,"Sector edge, lagging side (inside)",,,,,V L1,0.000,V,0.00,50.000,"faulted phase, collapsed",OPERATE,Component still above threshold,op,
67Ns,Sensitive directional ground fault,Ground fault,Quick CMC,points,5,"Sector edge, lagging side (inside)",,,,,V L2,100.000,V,-150.00,50.000,,OPERATE,Component still above threshold,op,
67Ns,Sensitive directional ground fault,Ground fault,Quick CMC,points,5,"Sector edge, lagging side (inside)",,,,,V L3,100.000,V,150.00,50.000,,OPERATE,Component still above threshold,op,
67Ns,Sensitive directional ground fault,Ground fault,Quick CMC,points,5,"Sector edge, lagging side (inside)",,,,,V 4,100.000,V,180.00,50.000,displacement voltage 3V0 — broken delta,OPERATE,Component still above threshold,op,
67Ns,Sensitive directional ground fault,Ground fault,Quick CMC,points,5,"Sector edge, lagging side (inside)",,,,,I L1,0.0000,A,0.00,50.000,,OPERATE,Component still above threshold,op,
67Ns,Sensitive directional ground fault,Ground fault,Quick CMC,points,5,"Sector edge, lagging side (inside)",,,,,I L2,0.0000,A,0.00,50.000,,OPERATE,Component still above threshold,op,
67Ns,Sensitive directional ground fault,Ground fault,Quick CMC,points,5,"Sector edge, lagging side (inside)",,,,,I L3,0.0000,A,0.00,50.000,,OPERATE,Component still above threshold,op,
67Ns,Sensitive directional ground fault,Ground fault,Quick CMC,points,5,"Sector edge, lagging side (inside)",,,,,I aux,0.0600,A,-67.52,50.000,core-balance CT input (3I0),OPERATE,Component still above threshold,op,
67Ns,Sensitive directional ground fault,Ground fault,Quick CMC,points,6,"Sector edge, lagging side (outside)",,,,,V L1,0.000,V,0.00,50.000,"faulted phase, collapsed",RESTRAIN,Component has fallen under the threshold,no,
67Ns,Sensitive directional ground fault,Ground fault,Quick CMC,points,6,"Sector edge, lagging side (outside)",,,,,V L2,100.000,V,-150.00,50.000,,RESTRAIN,Component has fallen under the threshold,no,
67Ns,Sensitive directional ground fault,Ground fault,Quick CMC,points,6,"Sector edge, lagging side (outside)",,,,,V L3,100.000,V,150.00,50.000,,RESTRAIN,Component has fallen under the threshold,no,
67Ns,Sensitive directional ground fault,Ground fault,Quick CMC,points,6,"Sector edge, lagging side (outside)",,,,,V 4,100.000,V,180.00,50.000,displacement voltage 3V0 — broken delta,RESTRAIN,Component has fallen under the threshold,no,
67Ns,Sensitive directional ground fault,Ground fault,Quick CMC,points,6,"Sector edge, lagging side (outside)",,,,,I L1,0.0000,A,0.00,50.000,,RESTRAIN,Component has fallen under the threshold,no,
67Ns,Sensitive directional ground fault,Ground fault,Quick CMC,points,6,"Sector edge, lagging side (outside)",,,,,I L2,0.0000,A,0.00,50.000,,RESTRAIN,Component has fallen under the threshold,no,
67Ns,Sensitive directional ground fault,Ground fault,Quick CMC,points,6,"Sector edge, lagging side (outside)",,,,,I L3,0.0000,A,0.00,50.000,,RESTRAIN,Component has fallen under the threshold,no,
67Ns,Sensitive directional ground fault,Ground fault,Quick CMC,points,6,"Sector edge, lagging side (outside)",,,,,I aux,0.0600,A,-83.52,50.000,core-balance CT input (3I0),RESTRAIN,Component has fallen under the threshold,no,
