# 7SJ85-SIP — Siemens 7SJ85 SIPROTEC 5 overcurrent
# generated 2026-09-04 14:05 from 7SJ85.html
# configuration: kv=20; freq=50; rot=ABC; gnd=res; load=180; lpf=0.9; len=12; unit=km; z1m=0.12; z1a=72; z0m=0.38; z0a=68; ctp=400; cts=1; ctstar=line; ctgp=60; ctgs=1; i0src=cb; vtp=20000; vts=100; vtc=wye; v0src=bd; bdr=100; zsrc=I; zhold=1; cmc=3x; imax=32; vmax=300
# All quantities are SECONDARY at the relay terminals. Angles in degrees, CCW positive, V L1 = 0.
# Values shown are for the tool's sample configuration — re-generate after entering real station data.
Element,ElementName,TU_Module,DriveAs,Step,StepName,WhatIsApplied,SeqRun,SeqState,StateDuration_s,V_L1,V_L2,V_L3,V_4,I_L1,I_L2,I_L3,I_B_L1,I_B_L2,I_B_L3,Freq_Hz,Expected,ExpectedDetail,Measured,PassFail
67Ns,Sensitive directional ground fault,Quick CMC,points,1,Forward — full component,"Residual current aligned with the measured axis, so the whole active component is available",,,,0.000@0.0,100.000@-150.0,100.000@150.0,100.000@180.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,,,,50.000,OPERATE,Component 60.0 mA against a 15.0 mA threshold,,
67Ns,Sensitive directional ground fault,Quick CMC,points,2,Reverse,Rotated 180° — the component reverses sign,,,,0.000@0.0,100.000@-150.0,100.000@150.0,100.000@180.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,,,,50.000,RESTRAIN,No operation in the reverse half-plane,,
67Ns,Sensitive directional ground fault,Quick CMC,points,3,"Sector edge, leading side (inside)",8° inside the 75.5° edge · component 22.9 mA,,,,0.000@0.0,100.000@-150.0,100.000@150.0,100.000@180.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,,,,50.000,OPERATE,Component still above the 15.0 mA threshold,,
67Ns,Sensitive directional ground fault,Quick CMC,points,4,"Sector edge, leading side (outside)",8° past the edge · component 6.8 mA,,,,0.000@0.0,100.000@-150.0,100.000@150.0,100.000@180.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,,,,50.000,RESTRAIN,Component has fallen under the threshold,,
67Ns,Sensitive directional ground fault,Quick CMC,points,5,"Sector edge, lagging side (inside)",8° inside the 75.5° edge,,,,0.000@0.0,100.000@-150.0,100.000@150.0,100.000@180.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,,,,50.000,OPERATE,Component still above threshold,,
67Ns,Sensitive directional ground fault,Quick CMC,points,6,"Sector edge, lagging side (outside)",8° past the edge,,,,0.000@0.0,100.000@-150.0,100.000@150.0,100.000@180.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,,,,50.000,RESTRAIN,Component has fallen under the threshold,,
67Ns,Sensitive directional ground fault,Quick CMC,points,7,Component — above threshold,Aligned with the axis at 120% of the component threshold,,,,0.000@0.0,100.000@-150.0,100.000@150.0,100.000@180.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,,,,50.000,OPERATE,Operate after 1.000 s,,
67Ns,Sensitive directional ground fault,Quick CMC,points,8,Component — below threshold,Aligned with the axis at 80% of the component threshold,,,,0.000@0.0,100.000@-150.0,100.000@150.0,100.000@180.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,,,,50.000,RESTRAIN,No operation,,
67Ns,Sensitive directional ground fault,Quick CMC,points,9,Displacement voltage withdrawn,3V0 dropped under the 20.0 V threshold with the current unchanged,,,,48.497@0.0,62.865@-127.3,62.865@127.3,16.000@180.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,,,,50.000,BLOCKED,The function has no reference to measure against,,
67Ns,Sensitive directional ground fault,Quick CMC,points,10,Residual current below threshold,Aligned with the axis but under the 10.0 mA current threshold,,,,0.000@0.0,100.000@-150.0,100.000@150.0,100.000@180.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,,,,50.000,BLOCKED,Magnitude supervision holds it off,,
59N,Displacement voltage,Quick CMC,points,1,Threshold — above,110% of the 20.0 V setting,,,,45.033@0.0,65.023@-129.7,65.023@129.7,22.000@180.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,,,,50.000,OPERATE,Operate after 3.000 s,,
59N,Displacement voltage,Quick CMC,points,2,Threshold — below,90% of the 20.0 V setting,,,,47.343@0.0,63.571@-128.1,63.571@128.1,18.000@180.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,,,,50.000,RESTRAIN,No operation,,
59N,Displacement voltage,Quick CMC,points,3,Reset check,Dropped just under the 0.95 × reset ratio after operating,,,,46.985@0.0,63.793@-128.4,63.793@128.4,18.620@180.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,,,,50.000,RESETS,"Approach this one from above, having already picked up",,
59N,Displacement voltage,Quick CMC,points,4,Fault at 25% displacement,Neutral shifted 25% — a fault through 3.0× the network zero-sequence impedance,,,,43.301@0.0,66.144@-130.9,66.144@130.9,25.000@180.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,,,,50.000,OPERATE,Phase voltages 43.3 / 66.1 / 66.1 V,,
59N,Displacement voltage,Quick CMC,points,5,Fault at 50% displacement,Neutral shifted 50% — a fault through 1.0× the network zero-sequence impedance,,,,28.868@0.0,76.376@-139.1,76.376@139.1,50.000@180.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,,,,50.000,OPERATE,Phase voltages 28.9 / 76.4 / 76.4 V,,
59N,Displacement voltage,Quick CMC,points,6,Fault at 100% displacement,Neutral shifted 100% — a solid ground fault,,,,0.000@0.0,100.000@-150.0,100.000@150.0,100.000@180.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,,,,50.000,OPERATE,Phase voltages 0.0 / 100.0 / 100.0 V,,
50-1,Overcurrent stage 1,Overcurrent,pickup+time,1,Threshold — above,105% of setting · operating quantity 2.6250 A,,,,57.735@0.0,57.735@-120.0,57.735@120.0,,2.6250@-72.0,0.0000@0.0,0.0000@0.0,,,,50.000,OPERATE,Operate within 0.100 s,,
50-1,Overcurrent stage 1,Overcurrent,pickup+time,2,Threshold — below,95% of setting · operating quantity 2.3750 A,,,,57.735@0.0,57.735@-120.0,57.735@120.0,,2.3750@-72.0,0.0000@0.0,0.0000@0.0,,,,50.000,RESTRAIN,No operation,,
50-1,Overcurrent stage 1,Overcurrent,pickup+time,3,Timing at 2.0× threshold,Step from prefault load straight to the test value,,,,57.735@0.0,57.735@-120.0,57.735@120.0,,5.0000@-72.0,0.0000@0.0,0.0000@0.0,,,,50.000,0.100 s,Measured from the current step to the trip,,
50-2,Overcurrent stage 2,Overcurrent,pickup+time,1,Threshold — above,105% of setting · operating quantity 8.4000 A,,,,57.735@0.0,57.735@-120.0,57.735@120.0,,8.4000@-72.0,0.0000@0.0,0.0000@0.0,,,,50.000,OPERATE,Operate within 0.100 s,,
50-2,Overcurrent stage 2,Overcurrent,pickup+time,2,Threshold — below,95% of setting · operating quantity 7.6000 A,,,,57.735@0.0,57.735@-120.0,57.735@120.0,,7.6000@-72.0,0.0000@0.0,0.0000@0.0,,,,50.000,RESTRAIN,No operation,,
50-2,Overcurrent stage 2,Overcurrent,pickup+time,3,Timing at 2.0× threshold,Step from prefault load straight to the test value,,,,57.735@0.0,57.735@-120.0,57.735@120.0,,16.0000@-72.0,0.0000@0.0,0.0000@0.0,,,,50.000,0.100 s,Measured from the current step to the trip,,
51,Overcurrent inverse time,Overcurrent,characteristic,1,Threshold — above,105% of setting,,,,57.735@0.0,57.735@-120.0,57.735@120.0,,1.2600@-72.0,0.0000@0.0,0.0000@0.0,,,,50.000,OPERATE,Long operate time — let the characteristic run out,,
51,Overcurrent inverse time,Overcurrent,characteristic,2,Threshold — below,95% of setting,,,,57.735@0.0,57.735@-120.0,57.735@120.0,,1.1400@-72.0,0.0000@0.0,0.0000@0.0,,,,50.000,RESTRAIN,No operation,,
51,Overcurrent inverse time,Overcurrent,characteristic,3,Timing at 2.0× threshold,IEC Normal Inverse · T = 0.20,,,,57.735@0.0,57.735@-120.0,57.735@120.0,,2.4000@-72.0,0.0000@0.0,0.0000@0.0,,,,50.000,2.006 s,From the characteristic equation,,
51,Overcurrent inverse time,Overcurrent,characteristic,4,Timing at 3.0× threshold,IEC Normal Inverse · T = 0.20,,,,57.735@0.0,57.735@-120.0,57.735@120.0,,3.6000@-72.0,0.0000@0.0,0.0000@0.0,,,,50.000,1.260 s,From the characteristic equation,,
51,Overcurrent inverse time,Overcurrent,characteristic,5,Timing at 5.0× threshold,IEC Normal Inverse · T = 0.20,,,,57.735@0.0,57.735@-120.0,57.735@120.0,,6.0000@-72.0,0.0000@0.0,0.0000@0.0,,,,50.000,0.856 s,From the characteristic equation,,
51,Overcurrent inverse time,Overcurrent,characteristic,6,Timing at 10.0× threshold,IEC Normal Inverse · T = 0.20,,,,57.735@0.0,57.735@-120.0,57.735@120.0,,12.0000@-72.0,0.0000@0.0,0.0000@0.0,,,,50.000,0.594 s,From the characteristic equation,,
50N-1,Ground overcurrent stage 1,Overcurrent,pickup+time,1,Threshold — above,105% of setting · operating quantity 420.0 mA,,,,57.735@0.0,57.735@-120.0,57.735@120.0,,0.4200@-72.0,0.0000@0.0,0.0000@0.0,,,,50.000,OPERATE,Operate within 0.100 s,,
50N-1,Ground overcurrent stage 1,Overcurrent,pickup+time,2,Threshold — below,95% of setting · operating quantity 380.0 mA,,,,57.735@0.0,57.735@-120.0,57.735@120.0,,0.3800@-72.0,0.0000@0.0,0.0000@0.0,,,,50.000,RESTRAIN,No operation,,
50N-1,Ground overcurrent stage 1,Overcurrent,pickup+time,3,Timing at 2.0× threshold,Step from prefault load straight to the test value,,,,57.735@0.0,57.735@-120.0,57.735@120.0,,0.8000@-72.0,0.0000@0.0,0.0000@0.0,,,,50.000,0.100 s,Measured from the current step to the trip,,
50N-2,Ground overcurrent stage 2,Overcurrent,pickup+time,1,Threshold — above,105% of setting · operating quantity 2.1000 A,,,,57.735@0.0,57.735@-120.0,57.735@120.0,,2.1000@-72.0,0.0000@0.0,0.0000@0.0,,,,50.000,OPERATE,Operate within 0.100 s,,
50N-2,Ground overcurrent stage 2,Overcurrent,pickup+time,2,Threshold — below,95% of setting · operating quantity 1.9000 A,,,,57.735@0.0,57.735@-120.0,57.735@120.0,,1.9000@-72.0,0.0000@0.0,0.0000@0.0,,,,50.000,RESTRAIN,No operation,,
50N-2,Ground overcurrent stage 2,Overcurrent,pickup+time,3,Timing at 2.0× threshold,Step from prefault load straight to the test value,,,,57.735@0.0,57.735@-120.0,57.735@120.0,,4.0000@-72.0,0.0000@0.0,0.0000@0.0,,,,50.000,0.100 s,Measured from the current step to the trip,,
51N,Ground inverse time,Overcurrent,characteristic,1,Threshold — above,105% of setting,,,,57.735@0.0,57.735@-120.0,57.735@120.0,,0.2625@-72.0,0.0000@0.0,0.0000@0.0,,,,50.000,OPERATE,Long operate time — let the characteristic run out,,
51N,Ground inverse time,Overcurrent,characteristic,2,Threshold — below,95% of setting,,,,57.735@0.0,57.735@-120.0,57.735@120.0,,0.2375@-72.0,0.0000@0.0,0.0000@0.0,,,,50.000,RESTRAIN,No operation,,
51N,Ground inverse time,Overcurrent,characteristic,3,Timing at 2.0× threshold,IEC Normal Inverse · T = 0.20,,,,57.735@0.0,57.735@-120.0,57.735@120.0,,0.5000@-72.0,0.0000@0.0,0.0000@0.0,,,,50.000,2.006 s,From the characteristic equation,,
51N,Ground inverse time,Overcurrent,characteristic,4,Timing at 3.0× threshold,IEC Normal Inverse · T = 0.20,,,,57.735@0.0,57.735@-120.0,57.735@120.0,,0.7500@-72.0,0.0000@0.0,0.0000@0.0,,,,50.000,1.260 s,From the characteristic equation,,
51N,Ground inverse time,Overcurrent,characteristic,5,Timing at 5.0× threshold,IEC Normal Inverse · T = 0.20,,,,57.735@0.0,57.735@-120.0,57.735@120.0,,1.2500@-72.0,0.0000@0.0,0.0000@0.0,,,,50.000,0.856 s,From the characteristic equation,,
51N,Ground inverse time,Overcurrent,characteristic,6,Timing at 10.0× threshold,IEC Normal Inverse · T = 0.20,,,,57.735@0.0,57.735@-120.0,57.735@120.0,,2.5000@-72.0,0.0000@0.0,0.0000@0.0,,,,50.000,0.594 s,From the characteristic equation,,
46,Unbalanced load,Overcurrent,characteristic,1,Threshold — above,105% of setting · operating quantity 315.0 mA,,,,57.735@0.0,57.735@-120.0,57.735@120.0,,0.9450@-72.0,0.0000@0.0,0.0000@0.0,,,,50.000,OPERATE,Operate within 0.100 s,,
46,Unbalanced load,Overcurrent,characteristic,2,Threshold — below,95% of setting · operating quantity 285.0 mA,,,,57.735@0.0,57.735@-120.0,57.735@120.0,,0.8550@-72.0,0.0000@0.0,0.0000@0.0,,,,50.000,RESTRAIN,No operation,,
46,Unbalanced load,Overcurrent,characteristic,3,Timing at 2.0× threshold,Step from prefault load straight to the test value,,,,57.735@0.0,57.735@-120.0,57.735@120.0,,1.8000@-72.0,0.0000@0.0,0.0000@0.0,,,,50.000,0.100 s,Measured from the current step to the trip,,
Inrush,2nd harmonic inrush restraint,Harmonics,points,1,Harmonic above threshold,17.3% content — the device should read this as inrush,,,,57.735@0.0,57.735@-120.0,57.735@120.0,,3.0000@0.0,,,,,,50.000,BLOCKED,Overcurrent stages held off,,
Inrush,2nd harmonic inrush restraint,Harmonics,points,2,Harmonic below threshold,12.8% content — not enough to look like inrush,,,,57.735@0.0,57.735@-120.0,57.735@120.0,,3.0000@0.0,,,,,,50.000,OPERATE,The overcurrent stage is released and trips,,
Inrush,2nd harmonic inrush restraint,Harmonics,points,3,No harmonic,Clean fundamental only — a genuine fault,,,,57.735@0.0,57.735@-120.0,57.735@120.0,,3.0000@0.0,,,,,,50.000,OPERATE,This is the case an ordinary overcurrent test produces,,
Inrush,2nd harmonic inrush restraint,Harmonics,points,4,Above the upper limit,Harmonic still present but fundamental raised past the 8.0 × In release level,,,,57.735@0.0,57.735@-120.0,57.735@120.0,,9.6000@0.0,,,,,,50.000,OPERATE,Blocking is abandoned above the upper limit — a real fault does not wait for the harmonic to clear,,
21,Distance zones,Advanced Distance,shots,1,Z1 reach — inside,Fault at 76.5% of line · 9.18 km out,,,,57.735@90.0,2.203@0.0,2.203@180.0,,0.0000@0.0,1.0000@-72.0,1.0000@108.0,,,,50.000,ZONE 1,Operate after 0.000 s,,
