# 845-VEC — Multilin 845 transformer protection
# generated 2026-09-07 01:42 from 845.html
# configuration: mva=20; kv1=115; kv2=13.8; vg=Dyn1; freq=60; rot=ABC; ct1p=150; ct1s=5; ct1c=wye; ct2p=1200; ct2s=5; ct2c=wye; ctgp=200; ctgs=5; refw=2; vtp=13800; vts=120; vtc=wye; vtw=2; cmc=6x; imax=12.5; vmax=300
# All quantities are SECONDARY at the relay terminals. Angles in degrees, CCW positive, V L1 = 0.
# Values shown are for the tool's sample configuration — re-generate after entering real station data.
Element,ElementName,TU_Module,DriveAs,Step,StepName,WhatIsApplied,SeqRun,SeqState,StateDuration_s,V_L1,V_L2,V_L3,V_4,I_L1,I_L2,I_L3,I_B_L1,I_B_L2,I_B_L3,Freq_Hz,CurrentNeededAt,Reachable,Expected,ExpectedDetail,Measured,PassFail
87T,Percent differential,Differential,characteristic,1,Irest 0.50 pu — above slope,Idiff required 0.200 pu · applied 0.220 pu (+10%),,,,69.282@0.0,69.282@-120.0,69.282@120.0,,1.6735@0.0,1.6735@-120.0,1.6735@120.0,0.9762@150.0,0.9762@30.0,0.9762@-90.0,60.000,,yes,OPERATE,IW1 0.500 pu · IW2 0.280 pu,,
87T,Percent differential,Differential,characteristic,2,Irest 0.50 pu — below slope,Idiff required 0.200 pu · applied 0.180 pu (−10%),,,,69.282@0.0,69.282@-120.0,69.282@120.0,,1.6735@0.0,1.6735@-120.0,1.6735@120.0,1.1157@150.0,1.1157@30.0,1.1157@-90.0,60.000,,yes,RESTRAIN,IW1 0.500 pu · IW2 0.320 pu,,
87T,Percent differential,Differential,characteristic,3,Irest 1.50 pu — above slope,Idiff required 0.200 pu · applied 0.220 pu (+10%),,,,69.282@0.0,69.282@-120.0,69.282@120.0,,5.0204@0.0,5.0204@-120.0,5.0204@120.0,4.4626@150.0,4.4626@30.0,4.4626@-90.0,60.000,,yes,OPERATE,IW1 1.500 pu · IW2 1.280 pu,,
87T,Percent differential,Differential,characteristic,4,Irest 1.50 pu — below slope,Idiff required 0.200 pu · applied 0.180 pu (−10%),,,,69.282@0.0,69.282@-120.0,69.282@120.0,,5.0204@0.0,5.0204@-120.0,5.0204@120.0,4.6021@150.0,4.6021@30.0,4.6021@-90.0,60.000,,yes,RESTRAIN,IW1 1.500 pu · IW2 1.320 pu,,
87T,Percent differential,Differential,characteristic,5,Irest 3.00 pu — above slope,Idiff required 0.750 pu · applied 0.825 pu (+10%),,,,69.282@0.0,69.282@-120.0,69.282@120.0,,10.0409@0.0,10.0409@-120.0,10.0409@120.0,7.5830@150.0,7.5830@30.0,7.5830@-90.0,60.000,,yes,OPERATE,IW1 3.000 pu · IW2 2.175 pu,,
87T,Percent differential,Differential,characteristic,6,Irest 3.00 pu — below slope,Idiff required 0.750 pu · applied 0.675 pu (−10%),,,,69.282@0.0,69.282@-120.0,69.282@120.0,,10.0409@0.0,10.0409@-120.0,10.0409@120.0,8.1059@150.0,8.1059@30.0,8.1059@-90.0,60.000,,yes,RESTRAIN,IW1 3.000 pu · IW2 2.325 pu,,
87T,Percent differential,Differential,characteristic,7,Irest 7.00 pu — above slope,Idiff required 2.100 pu · applied 2.310 pu (+10%),,,,69.282@0.0,69.282@-120.0,69.282@120.0,,23.4287@0.0,23.4287@-120.0,23.4287@120.0,16.3513@150.0,16.3513@30.0,16.3513@-90.0,60.000,,yes,OPERATE,IW1 7.000 pu · IW2 4.690 pu,,
87T,Percent differential,Differential,characteristic,8,Irest 7.00 pu — below slope,Idiff required 2.100 pu · applied 1.890 pu (−10%),,,,69.282@0.0,69.282@-120.0,69.282@120.0,,23.4287@0.0,23.4287@-120.0,23.4287@120.0,17.8156@150.0,17.8156@30.0,17.8156@-90.0,60.000,,yes,RESTRAIN,IW1 7.000 pu · IW2 5.110 pu,,
87T-H,Harmonic inhibit,Harmonics,points,1,2nd — inrush — above threshold,Harmonic content 22.0% of fundamental (setting 20%),,,,69.282@0.0,69.282@-120.0,69.282@120.0,,3.3470@0.0,,,,,,60.000,,yes,RESTRAIN,Differential 1.00 pu present throughout,,
87T-H,Harmonic inhibit,Harmonics,points,2,2nd — inrush — below threshold,Harmonic content 18.0% of fundamental (setting 20%),,,,69.282@0.0,69.282@-120.0,69.282@120.0,,3.3470@0.0,,,,,,60.000,,yes,OPERATE,Differential 1.00 pu present throughout,,
87T-H,Harmonic inhibit,Harmonics,points,3,5th — overexcitation — above threshold,Harmonic content 33.0% of fundamental (setting 30%),,,,69.282@0.0,69.282@-120.0,69.282@120.0,,3.3470@0.0,,,,,,60.000,,yes,RESTRAIN,Differential 1.00 pu present throughout,,
87T-H,Harmonic inhibit,Harmonics,points,4,5th — overexcitation — below threshold,Harmonic content 27.0% of fundamental (setting 30%),,,,69.282@0.0,69.282@-120.0,69.282@120.0,,3.3470@0.0,,,,,,60.000,,yes,OPERATE,Differential 1.00 pu present throughout,,
87G,Restricted ground fault,Differential,characteristic,1,Sensitivity — above pickup,"Ground CT input only, phase CTs at zero. Applied 0.110 ×CT.",,,,69.282@0.0,69.282@-120.0,69.282@120.0,,0.5500@0.0,,,,,,60.000,,yes,OPERATE,Operate time 0.00 s,,
87G,Restricted ground fault,Differential,characteristic,2,Sensitivity — below pickup,"Ground CT input only, phase CTs at zero. Applied 0.090 ×CT.",,,,69.282@0.0,69.282@-120.0,69.282@120.0,,0.4500@0.0,,,,,,60.000,,yes,RESTRAIN,Operate time 0.00 s,,
87G,Restricted ground fault,Differential,characteristic,3,Through-fault stability,Phase L1 and ground input driven in opposition at 4.0 ×CT — an external ground fault.,,,,69.282@0.0,69.282@-120.0,69.282@120.0,,20.0000@0.0,0.0000@0.0,0.0000@0.0,20.0000@180.0,,,60.000,,yes,RESTRAIN,No operation at any point of the ramp,,
50P,Phase instantaneous OC,Overcurrent,pickup+time,1,Pickup — above threshold,105% of setting · operating quantity 42.000 A sec,,,,69.282@0.0,69.282@-120.0,69.282@120.0,,42.0000@-75.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,60.000,,yes,OPERATE,Operate within 0.05 s,,
50P,Phase instantaneous OC,Overcurrent,pickup+time,2,Pickup — below threshold,95% of setting · operating quantity 38.000 A sec,,,,69.282@0.0,69.282@-120.0,69.282@120.0,,38.0000@-75.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,60.000,,yes,RESTRAIN,No operation,,
50P,Phase instantaneous OC,Overcurrent,pickup+time,3,Timing at 2.0× pickup,Step from prefault zero straight to the test value,,,,69.282@0.0,69.282@-120.0,69.282@120.0,,80.0000@-75.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,60.000,,yes,0.050 s,Measured from application of current to trip contact,,
