# 850-FDR — Multilin 850 feeder protection
# generated 2026-09-15 00:14 from 850.html
# configuration: kv=13.8; freq=60; rot=ABC; gnd=solid; load=320; lpf=0.92; len=8; unit=mi; z1m=0.65; z1a=68; z0m=2.1; z0a=72; ctp=600; cts=5; ctc=wye; ctgp=600; ctgs=5; ctsg=50; vtp=13800; vts=120; vtc=wye; vtw=line; zsrc=I; zhold=5; k0m=0; cmc=3x; imax=32; vmax=300
# All quantities are SECONDARY at the relay terminals. Angles in degrees, CCW positive, V L1 = 0.
# Values shown are for the tool's sample configuration — re-generate after entering real station data.
Element,ElementName,Group,TU_Module,DriveAs,Step,StepName,SeqRun,SeqState,SeqLabel,StateDuration_s,Channel,Magnitude,Unit,Angle_deg,Frequency_Hz,ChannelNote,Expected,ExpectedDetail,Verdict,CurrentNeededAt
79,Autoreclose,Feeder automation,State Sequencer,sequence,1,Permanent — prefault load,1,1/5,Load,2.000,V L1,69.282,V,0.00,60.000,,READY,"79 reset, shot counter at zero",nu,
79,Autoreclose,Feeder automation,State Sequencer,sequence,1,Permanent — prefault load,1,1/5,Load,2.000,V L2,69.282,V,-120.00,60.000,,READY,"79 reset, shot counter at zero",nu,
79,Autoreclose,Feeder automation,State Sequencer,sequence,1,Permanent — prefault load,1,1/5,Load,2.000,V L3,69.282,V,120.00,60.000,,READY,"79 reset, shot counter at zero",nu,
79,Autoreclose,Feeder automation,State Sequencer,sequence,1,Permanent — prefault load,1,1/5,Load,2.000,I L1,2.6667,A,-23.07,60.000,,READY,"79 reset, shot counter at zero",nu,
79,Autoreclose,Feeder automation,State Sequencer,sequence,1,Permanent — prefault load,1,1/5,Load,2.000,I L2,2.6667,A,-143.07,60.000,,READY,"79 reset, shot counter at zero",nu,
79,Autoreclose,Feeder automation,State Sequencer,sequence,1,Permanent — prefault load,1,1/5,Load,2.000,I L3,2.6667,A,96.93,60.000,,READY,"79 reset, shot counter at zero",nu,
79,Autoreclose,Feeder automation,State Sequencer,sequence,2,Permanent — fault 1 of 2,1,2/5,Fault 1,0.080,V L1,69.282,V,0.00,60.000,,"TRIP, RECLOSE INITIATED",Trip in 0.080 s,op,
79,Autoreclose,Feeder automation,State Sequencer,sequence,2,Permanent — fault 1 of 2,1,2/5,Fault 1,0.080,V L2,69.282,V,-120.00,60.000,,"TRIP, RECLOSE INITIATED",Trip in 0.080 s,op,
79,Autoreclose,Feeder automation,State Sequencer,sequence,2,Permanent — fault 1 of 2,1,2/5,Fault 1,0.080,V L3,69.282,V,120.00,60.000,,"TRIP, RECLOSE INITIATED",Trip in 0.080 s,op,
79,Autoreclose,Feeder automation,State Sequencer,sequence,2,Permanent — fault 1 of 2,1,2/5,Fault 1,0.080,I L1,30.0000,A,-75.00,60.000,,"TRIP, RECLOSE INITIATED",Trip in 0.080 s,op,
79,Autoreclose,Feeder automation,State Sequencer,sequence,2,Permanent — fault 1 of 2,1,2/5,Fault 1,0.080,I L2,0.0000,A,0.00,60.000,,"TRIP, RECLOSE INITIATED",Trip in 0.080 s,op,
79,Autoreclose,Feeder automation,State Sequencer,sequence,2,Permanent — fault 1 of 2,1,2/5,Fault 1,0.080,I L3,0.0000,A,0.00,60.000,,"TRIP, RECLOSE INITIATED",Trip in 0.080 s,op,
79,Autoreclose,Feeder automation,State Sequencer,sequence,3,Permanent — dead time 1,1,3/5,Dead 1,0.500,V L1,0.000,V,0.00,60.000,,RECLOSE AT 0.50 s,"Close output must appear at the end of this state, not before",nu,
79,Autoreclose,Feeder automation,State Sequencer,sequence,3,Permanent — dead time 1,1,3/5,Dead 1,0.500,V L2,0.000,V,-120.00,60.000,,RECLOSE AT 0.50 s,"Close output must appear at the end of this state, not before",nu,
79,Autoreclose,Feeder automation,State Sequencer,sequence,3,Permanent — dead time 1,1,3/5,Dead 1,0.500,V L3,0.000,V,120.00,60.000,,RECLOSE AT 0.50 s,"Close output must appear at the end of this state, not before",nu,
79,Autoreclose,Feeder automation,State Sequencer,sequence,3,Permanent — dead time 1,1,3/5,Dead 1,0.500,I L1,0.0000,A,0.00,60.000,,RECLOSE AT 0.50 s,"Close output must appear at the end of this state, not before",nu,
79,Autoreclose,Feeder automation,State Sequencer,sequence,3,Permanent — dead time 1,1,3/5,Dead 1,0.500,I L2,0.0000,A,0.00,60.000,,RECLOSE AT 0.50 s,"Close output must appear at the end of this state, not before",nu,
79,Autoreclose,Feeder automation,State Sequencer,sequence,3,Permanent — dead time 1,1,3/5,Dead 1,0.500,I L3,0.0000,A,0.00,60.000,,RECLOSE AT 0.50 s,"Close output must appear at the end of this state, not before",nu,
79,Autoreclose,Feeder automation,State Sequencer,sequence,4,Permanent — fault 2 of 2,1,4/5,Fault 2,0.080,V L1,69.282,V,0.00,60.000,,"TRIP, SHOT 2","Trip in 0.080 s · instantaneous now blocked, expect the time curve instead",op,
79,Autoreclose,Feeder automation,State Sequencer,sequence,4,Permanent — fault 2 of 2,1,4/5,Fault 2,0.080,V L2,69.282,V,-120.00,60.000,,"TRIP, SHOT 2","Trip in 0.080 s · instantaneous now blocked, expect the time curve instead",op,
79,Autoreclose,Feeder automation,State Sequencer,sequence,4,Permanent — fault 2 of 2,1,4/5,Fault 2,0.080,V L3,69.282,V,120.00,60.000,,"TRIP, SHOT 2","Trip in 0.080 s · instantaneous now blocked, expect the time curve instead",op,
79,Autoreclose,Feeder automation,State Sequencer,sequence,4,Permanent — fault 2 of 2,1,4/5,Fault 2,0.080,I L1,30.0000,A,-75.00,60.000,,"TRIP, SHOT 2","Trip in 0.080 s · instantaneous now blocked, expect the time curve instead",op,
79,Autoreclose,Feeder automation,State Sequencer,sequence,4,Permanent — fault 2 of 2,1,4/5,Fault 2,0.080,I L2,0.0000,A,0.00,60.000,,"TRIP, SHOT 2","Trip in 0.080 s · instantaneous now blocked, expect the time curve instead",op,
79,Autoreclose,Feeder automation,State Sequencer,sequence,4,Permanent — fault 2 of 2,1,4/5,Fault 2,0.080,I L3,0.0000,A,0.00,60.000,,"TRIP, SHOT 2","Trip in 0.080 s · instantaneous now blocked, expect the time curve instead",op,
79,Autoreclose,Feeder automation,State Sequencer,sequence,5,Permanent — lockout,1,5/5,Lockout,3.000,V L1,0.000,V,0.00,60.000,,LOCKOUT,No close output. 79 must stay locked out until manually reset.,no,
79,Autoreclose,Feeder automation,State Sequencer,sequence,5,Permanent — lockout,1,5/5,Lockout,3.000,V L2,0.000,V,-120.00,60.000,,LOCKOUT,No close output. 79 must stay locked out until manually reset.,no,
79,Autoreclose,Feeder automation,State Sequencer,sequence,5,Permanent — lockout,1,5/5,Lockout,3.000,V L3,0.000,V,120.00,60.000,,LOCKOUT,No close output. 79 must stay locked out until manually reset.,no,
79,Autoreclose,Feeder automation,State Sequencer,sequence,5,Permanent — lockout,1,5/5,Lockout,3.000,I L1,0.0000,A,0.00,60.000,,LOCKOUT,No close output. 79 must stay locked out until manually reset.,no,
79,Autoreclose,Feeder automation,State Sequencer,sequence,5,Permanent — lockout,1,5/5,Lockout,3.000,I L2,0.0000,A,0.00,60.000,,LOCKOUT,No close output. 79 must stay locked out until manually reset.,no,
79,Autoreclose,Feeder automation,State Sequencer,sequence,5,Permanent — lockout,1,5/5,Lockout,3.000,I L3,0.0000,A,0.00,60.000,,LOCKOUT,No close output. 79 must stay locked out until manually reset.,no,
79,Autoreclose,Feeder automation,State Sequencer,sequence,6,Transient — prefault load,2,1/5,Load,2.000,V L1,69.282,V,0.00,60.000,,READY,Shot counter at zero,nu,
79,Autoreclose,Feeder automation,State Sequencer,sequence,6,Transient — prefault load,2,1/5,Load,2.000,V L2,69.282,V,-120.00,60.000,,READY,Shot counter at zero,nu,
79,Autoreclose,Feeder automation,State Sequencer,sequence,6,Transient — prefault load,2,1/5,Load,2.000,V L3,69.282,V,120.00,60.000,,READY,Shot counter at zero,nu,
79,Autoreclose,Feeder automation,State Sequencer,sequence,6,Transient — prefault load,2,1/5,Load,2.000,I L1,2.6667,A,-23.07,60.000,,READY,Shot counter at zero,nu,
79,Autoreclose,Feeder automation,State Sequencer,sequence,6,Transient — prefault load,2,1/5,Load,2.000,I L2,2.6667,A,-143.07,60.000,,READY,Shot counter at zero,nu,
79,Autoreclose,Feeder automation,State Sequencer,sequence,6,Transient — prefault load,2,1/5,Load,2.000,I L3,2.6667,A,96.93,60.000,,READY,Shot counter at zero,nu,
79,Autoreclose,Feeder automation,State Sequencer,sequence,7,Transient — fault,2,2/5,Fault,0.080,V L1,69.282,V,0.00,60.000,,"TRIP, RECLOSE INITIATED",Trip in 0.080 s,op,
79,Autoreclose,Feeder automation,State Sequencer,sequence,7,Transient — fault,2,2/5,Fault,0.080,V L2,69.282,V,-120.00,60.000,,"TRIP, RECLOSE INITIATED",Trip in 0.080 s,op,
79,Autoreclose,Feeder automation,State Sequencer,sequence,7,Transient — fault,2,2/5,Fault,0.080,V L3,69.282,V,120.00,60.000,,"TRIP, RECLOSE INITIATED",Trip in 0.080 s,op,
79,Autoreclose,Feeder automation,State Sequencer,sequence,7,Transient — fault,2,2/5,Fault,0.080,I L1,30.0000,A,-75.00,60.000,,"TRIP, RECLOSE INITIATED",Trip in 0.080 s,op,
