# 850-FDR — Multilin 850 feeder protection
# generated 2026-09-04 13:26 from 850.html
# configuration: kv=13.8; freq=60; rot=ABC; gnd=solid; load=320; lpf=0.92; len=8; unit=mi; z1m=0.65; z1a=68; z0m=2.1; z0a=72; ctp=600; cts=5; ctc=wye; ctgp=600; ctgs=5; ctsg=50; vtp=13800; vts=120; vtc=wye; vtw=line; zsrc=I; zhold=5; k0m=0; cmc=3x; imax=32; vmax=300
# All quantities are SECONDARY at the relay terminals. Angles in degrees, CCW positive, V L1 = 0.
# Values shown are for the tool's sample configuration — re-generate after entering real station data.
Element,ElementName,TU_Module,DriveAs,Step,StepName,WhatIsApplied,SeqRun,SeqState,StateDuration_s,V_L1,V_L2,V_L3,V_4,I_L1,I_L2,I_L3,I_B_L1,I_B_L2,I_B_L3,Freq_Hz,Expected,ExpectedDetail,Measured,PassFail
79,Autoreclose,State Sequencer,sequence,1,Permanent — prefault load,Healthy circuit held long enough for the reclose scheme to be reset and ready,1,1/5,2.000,69.282@0.0,69.282@-120.0,69.282@120.0,,2.6667@-23.1,2.6667@-143.1,2.6667@96.9,,,,60.000,READY,"79 reset, shot counter at zero",,
79,Autoreclose,State Sequencer,sequence,2,Permanent — fault 1 of 2,"Faulted phase collapsed, 6.0 ×CT applied. The fault is still there on every reclose.",1,2/5,0.080,69.282@0.0,69.282@-120.0,69.282@120.0,,30.0000@-75.0,0.0000@0.0,0.0000@0.0,,,,60.000,"TRIP, RECLOSE INITIATED",Trip in 0.080 s,,
79,Autoreclose,State Sequencer,sequence,3,Permanent — dead time 1,"Breaker open, line dead. Dead time 1 is 0.50 s.",1,3/5,0.500,0.000@0.0,0.000@-120.0,0.000@120.0,,0.0000@0.0,0.0000@0.0,0.0000@0.0,,,,60.000,RECLOSE AT 0.50 s,"Close output must appear at the end of this state, not before",,
79,Autoreclose,State Sequencer,sequence,4,Permanent — fault 2 of 2,"Faulted phase collapsed, 6.0 ×CT applied. The fault is still there on every reclose.",1,4/5,0.080,69.282@0.0,69.282@-120.0,69.282@120.0,,30.0000@-75.0,0.0000@0.0,0.0000@0.0,,,,60.000,"TRIP, SHOT 2","Trip in 0.080 s · instantaneous now blocked, expect the time curve instead",,
79,Autoreclose,State Sequencer,sequence,5,Permanent — lockout,"After shot 2 there are no shots left. Breaker open, no further close.",1,5/5,3.000,0.000@0.0,0.000@-120.0,0.000@120.0,,0.0000@0.0,0.0000@0.0,0.0000@0.0,,,,60.000,LOCKOUT,No close output. 79 must stay locked out until manually reset.,,
79,Autoreclose,State Sequencer,sequence,6,Transient — prefault load,"Healthy circuit, scheme reset and ready",2,1/5,2.000,69.282@0.0,69.282@-120.0,69.282@120.0,,2.6667@-23.1,2.6667@-143.1,2.6667@96.9,,,,60.000,READY,Shot counter at zero,,
79,Autoreclose,State Sequencer,sequence,7,Transient — fault,"Single fault, cleared by the trip and gone before the reclose",2,2/5,0.080,69.282@0.0,69.282@-120.0,69.282@120.0,,30.0000@-75.0,0.0000@0.0,0.0000@0.0,,,,60.000,"TRIP, RECLOSE INITIATED",Trip in 0.080 s,,
79,Autoreclose,State Sequencer,sequence,8,Transient — dead time 1,Breaker open. The fault is removed during this state.,2,3/5,0.500,0.000@0.0,0.000@-120.0,0.000@120.0,,0.0000@0.0,0.0000@0.0,0.0000@0.0,,,,60.000,RECLOSE AT 0.50 s,Close output at the end of the dead time,,
79,Autoreclose,State Sequencer,sequence,9,Transient — reclaim,Load restored and held for the full reclaim time of 20.0 s,2,4/5,20.000,69.282@0.0,69.282@-120.0,69.282@120.0,,2.6667@-23.1,2.6667@-143.1,2.6667@96.9,,,,60.000,NO TRIP,Shot counter still advanced — a second fault inside this window goes to shot 2,,
79,Autoreclose,State Sequencer,sequence,10,Transient — reset confirmed,"Reclaim expired, shot counter back to zero",2,5/5,3.000,69.282@0.0,69.282@-120.0,69.282@120.0,,2.6667@-23.1,2.6667@-143.1,2.6667@96.9,,,,60.000,RESET,A fault now must be treated as shot 1 again,,
CLPU,Cold load pickup,State Sequencer,sequence,1,Settled load,"Normal load, well under pickup. Confirms the element is not armed.",1,1/5,5.000,69.282@0.0,69.282@-120.0,69.282@120.0,,2.6667@-75.0,2.6667@165.0,2.6667@45.0,,,,60.000,NO TRIP,CLPU idle,,
CLPU,Cold load pickup,State Sequencer,sequence,2,Outage — arming,"Breaker open with no current for 66 s, past the 60 s arming time.",1,2/5,66.000,0.000@0.0,0.000@-120.0,0.000@120.0,,0.0000@0.0,0.0000@0.0,0.0000@0.0,,,,60.000,ARMS,CLPU flag picks up when the outage exceeds 60 s,,
CLPU,Cold load pickup,State Sequencer,sequence,3,Restoration inside the window,Current at 9.000 A — above the normal pickup of 6.000 A but under the lifted pickup of 12.000 A.,1,3/5,60.000,69.282@0.0,69.282@-120.0,69.282@120.0,,9.0000@-75.0,9.0000@165.0,9.0000@45.0,,,,60.000,NO TRIP,This is the point of the element. A trip here means CLPU did not arm.,,
CLPU,Cold load pickup,State Sequencer,sequence,4,Above the lifted pickup,"Current raised to 13.200 A, past the lifted threshold.",1,4/5,0.500,69.282@0.0,69.282@-120.0,69.282@120.0,,13.2000@-75.0,13.2000@165.0,13.2000@45.0,,,,60.000,TRIP,"CLPU raises the pickup, it does not disable the element",,
CLPU,Cold load pickup,State Sequencer,sequence,5,Same current after the window closes,"Back to 9.000 A, held until the 120 s window expires.",1,5/5,120.000,69.282@0.0,69.282@-120.0,69.282@120.0,,9.0000@-75.0,9.0000@165.0,9.0000@45.0,,,,60.000,TRIP,The same current that was safe a moment ago must now operate,,
FLOC,Fault locator,Advanced Distance,shots,1,Fault at 10% of line,0.80 mi out · line impedance to the fault 0.543 Ω sec,,,,4.728@0.0,69.282@-120.0,69.282@120.0,,5.0000@-70.5,0.0000@0.0,0.0000@0.0,,,,60.000,0.80 mi,Accept 0.40 to 1.20 mi (±5.0% of line),,
FLOC,Fault locator,Advanced Distance,shots,2,Fault at 25% of line,2.00 mi out · line impedance to the fault 1.357 Ω sec,,,,11.819@0.0,69.282@-120.0,69.282@120.0,,5.0000@-70.5,0.0000@0.0,0.0000@0.0,,,,60.000,2.00 mi,Accept 1.60 to 2.40 mi (±5.0% of line),,
