# 869-MTR — Multilin 869 motor protection
# generated 2026-09-15 01:22 from src/869-mtr.html
# configuration: kv=4.16; fla=180; sf=1.15; hp=1500; pf=0.89; freq=60; rot=ABC; type=ind; lra=6; lrtc=20; lrth=15; acc=8; start=3; tbs=20; cmode=std; cm=4; ca=87.4; cn=2; cref=fla; fitI=6; fitT=10; k=6; hcr=0.75; taur=15; taus=30; tau_i=20; kf=1.05; ctp=200; cts=5; ctgp=50; ctgs=5; vtp=4160; vts=120; vtc=wye; diff=cb; cmc=3x; imax=32; vmax=300
# All quantities are SECONDARY at the relay terminals. Angles in degrees, CCW positive, V L1 = 0.
# Values shown are for the tool's sample configuration — re-generate after entering real station data.
Element,ElementName,Group,TU_Module,DriveAs,Step,StepName,SeqRun,SeqState,SeqLabel,StateDuration_s,Channel,Magnitude,Unit,Angle_deg,Frequency_Hz,ChannelNote,Expected,ExpectedDetail,Verdict,CurrentNeededAt
49,Thermal overload model,Thermal,Overcurrent,characteristic,1,Pickup — above threshold,,,,,V L1,69.282,V,0.00,60.000,,OPERATE,Very long — 12.72 min from the curve,op,
49,Thermal overload model,Thermal,Overcurrent,characteristic,1,Pickup — above threshold,,,,,V L2,69.282,V,-120.00,60.000,,OPERATE,Very long — 12.72 min from the curve,op,
49,Thermal overload model,Thermal,Overcurrent,characteristic,1,Pickup — above threshold,,,,,V L3,69.282,V,120.00,60.000,,OPERATE,Very long — 12.72 min from the curve,op,
49,Thermal overload model,Thermal,Overcurrent,characteristic,1,Pickup — above threshold,,,,,I L1,5.4337,A,-27.13,60.000,,OPERATE,Very long — 12.72 min from the curve,op,
49,Thermal overload model,Thermal,Overcurrent,characteristic,1,Pickup — above threshold,,,,,I L2,5.4337,A,-147.13,60.000,,OPERATE,Very long — 12.72 min from the curve,op,
49,Thermal overload model,Thermal,Overcurrent,characteristic,1,Pickup — above threshold,,,,,I L3,5.4337,A,92.87,60.000,,OPERATE,Very long — 12.72 min from the curve,op,
49,Thermal overload model,Thermal,Overcurrent,characteristic,2,Pickup — below threshold,,,,,V L1,69.282,V,0.00,60.000,,RESTRAIN,No accumulation,no,
49,Thermal overload model,Thermal,Overcurrent,characteristic,2,Pickup — below threshold,,,,,V L2,69.282,V,-120.00,60.000,,RESTRAIN,No accumulation,no,
49,Thermal overload model,Thermal,Overcurrent,characteristic,2,Pickup — below threshold,,,,,V L3,69.282,V,120.00,60.000,,RESTRAIN,No accumulation,no,
49,Thermal overload model,Thermal,Overcurrent,characteristic,2,Pickup — below threshold,,,,,I L1,4.9162,A,-27.13,60.000,,RESTRAIN,No accumulation,no,
49,Thermal overload model,Thermal,Overcurrent,characteristic,2,Pickup — below threshold,,,,,I L2,4.9162,A,-147.13,60.000,,RESTRAIN,No accumulation,no,
49,Thermal overload model,Thermal,Overcurrent,characteristic,2,Pickup — below threshold,,,,,I L3,4.9162,A,92.87,60.000,,RESTRAIN,No accumulation,no,
49,Thermal overload model,Thermal,Overcurrent,characteristic,3,Timing at 1.5 ×FLA,,,,,V L1,69.282,V,0.00,60.000,,4.66 min,From the cold overload curve,nu,
49,Thermal overload model,Thermal,Overcurrent,characteristic,3,Timing at 1.5 ×FLA,,,,,V L2,69.282,V,-120.00,60.000,,4.66 min,From the cold overload curve,nu,
49,Thermal overload model,Thermal,Overcurrent,characteristic,3,Timing at 1.5 ×FLA,,,,,V L3,69.282,V,120.00,60.000,,4.66 min,From the cold overload curve,nu,
49,Thermal overload model,Thermal,Overcurrent,characteristic,3,Timing at 1.5 ×FLA,,,,,I L1,6.7500,A,-27.13,60.000,,4.66 min,From the cold overload curve,nu,
49,Thermal overload model,Thermal,Overcurrent,characteristic,3,Timing at 1.5 ×FLA,,,,,I L2,6.7500,A,-147.13,60.000,,4.66 min,From the cold overload curve,nu,
49,Thermal overload model,Thermal,Overcurrent,characteristic,3,Timing at 1.5 ×FLA,,,,,I L3,6.7500,A,92.87,60.000,,4.66 min,From the cold overload curve,nu,
49,Thermal overload model,Thermal,Overcurrent,characteristic,4,Timing at 2 ×FLA,,,,,V L1,69.282,V,0.00,60.000,,116.5 s,From the cold overload curve,nu,
49,Thermal overload model,Thermal,Overcurrent,characteristic,4,Timing at 2 ×FLA,,,,,V L2,69.282,V,-120.00,60.000,,116.5 s,From the cold overload curve,nu,
49,Thermal overload model,Thermal,Overcurrent,characteristic,4,Timing at 2 ×FLA,,,,,V L3,69.282,V,120.00,60.000,,116.5 s,From the cold overload curve,nu,
49,Thermal overload model,Thermal,Overcurrent,characteristic,4,Timing at 2 ×FLA,,,,,I L1,9.0000,A,-27.13,60.000,,116.5 s,From the cold overload curve,nu,
49,Thermal overload model,Thermal,Overcurrent,characteristic,4,Timing at 2 ×FLA,,,,,I L2,9.0000,A,-147.13,60.000,,116.5 s,From the cold overload curve,nu,
49,Thermal overload model,Thermal,Overcurrent,characteristic,4,Timing at 2 ×FLA,,,,,I L3,9.0000,A,92.87,60.000,,116.5 s,From the cold overload curve,nu,
49,Thermal overload model,Thermal,Overcurrent,characteristic,5,Timing at 3 ×FLA,,,,,V L1,69.282,V,0.00,60.000,,43.7 s,From the cold overload curve,nu,
49,Thermal overload model,Thermal,Overcurrent,characteristic,5,Timing at 3 ×FLA,,,,,V L2,69.282,V,-120.00,60.000,,43.7 s,From the cold overload curve,nu,
49,Thermal overload model,Thermal,Overcurrent,characteristic,5,Timing at 3 ×FLA,,,,,V L3,69.282,V,120.00,60.000,,43.7 s,From the cold overload curve,nu,
