# 869-MTR — Multilin 869 motor protection
# generated 2026-09-15 01:22 from src/869-mtr.html
# configuration: kv=4.16; fla=180; sf=1.15; hp=1500; pf=0.89; freq=60; rot=ABC; type=ind; lra=6; lrtc=20; lrth=15; acc=8; start=3; tbs=20; cmode=std; cm=4; ca=87.4; cn=2; cref=fla; fitI=6; fitT=10; k=6; hcr=0.75; taur=15; taus=30; tau_i=20; kf=1.05; ctp=200; cts=5; ctgp=50; ctgs=5; vtp=4160; vts=120; vtc=wye; diff=cb; cmc=3x; imax=32; vmax=300
# All quantities are SECONDARY at the relay terminals. Angles in degrees, CCW positive, V L1 = 0.
# Values shown are for the tool's sample configuration — re-generate after entering real station data.
Element,ElementName,TU_Module,DriveAs,Step,StepName,WhatIsApplied,SeqRun,SeqState,StateDuration_s,V_L1,V_L2,V_L3,V_4,I_L1,I_L2,I_L3,I_B_L1,I_B_L2,I_B_L3,Freq_Hz,CurrentNeededAt,Reachable,Expected,ExpectedDetail,Measured,PassFail
49,Thermal overload model,Overcurrent,characteristic,1,Pickup — above threshold,105% of the 1.15 ×FLA overload pickup,,,,69.282@0.0,69.282@-120.0,69.282@120.0,,5.4337@-27.1,5.4337@-147.1,5.4337@92.9,,,,60.000,,yes,OPERATE,Very long — 12.72 min from the curve,,
49,Thermal overload model,Overcurrent,characteristic,2,Pickup — below threshold,95% of the 1.15 ×FLA overload pickup,,,,69.282@0.0,69.282@-120.0,69.282@120.0,,4.9162@-27.1,4.9162@-147.1,4.9162@92.9,,,,60.000,,yes,RESTRAIN,No accumulation,,
49,Thermal overload model,Overcurrent,characteristic,3,Timing at 1.5 ×FLA,balanced · cold curve,,,,69.282@0.0,69.282@-120.0,69.282@120.0,,6.7500@-27.1,6.7500@-147.1,6.7500@92.9,,,,60.000,,yes,4.66 min,From the cold overload curve,,
49,Thermal overload model,Overcurrent,characteristic,4,Timing at 2 ×FLA,balanced · cold curve,,,,69.282@0.0,69.282@-120.0,69.282@120.0,,9.0000@-27.1,9.0000@-147.1,9.0000@92.9,,,,60.000,,yes,116.5 s,From the cold overload curve,,
49,Thermal overload model,Overcurrent,characteristic,5,Timing at 3 ×FLA,balanced · cold curve,,,,69.282@0.0,69.282@-120.0,69.282@120.0,,13.5000@-27.1,13.5000@-147.1,13.5000@92.9,,,,60.000,,yes,43.7 s,From the cold overload curve,,
49,Thermal overload model,Overcurrent,characteristic,6,Timing at 4 ×FLA,balanced · cold curve,,,,69.282@0.0,69.282@-120.0,69.282@120.0,,18.0000@-27.1,18.0000@-147.1,18.0000@92.9,,,,60.000,,yes,23.3 s,From the cold overload curve,,
49,Thermal overload model,Overcurrent,characteristic,7,Timing at 6 ×FLA,balanced · cold curve,,,,69.282@0.0,69.282@-120.0,69.282@120.0,,27.0000@-27.1,27.0000@-147.1,27.0000@92.9,,,,60.000,,yes,9.99 s,From the cold overload curve,,
49TC,Thermal capacity and lockout,Quick CMC,points,1,Accumulate at 2 ×FLA,Capacity rises at 0.858 % per second from a cold start,,,,69.282@0.0,69.282@-120.0,69.282@120.0,,9.0000@-27.1,9.0000@-147.1,9.0000@92.9,,,,60.000,,yes,87.4 s to alarm,"Trip at 116.5 s · hold the current, do not interrupt it",,
49TC,Thermal capacity and lockout,Quick CMC,points,2,Accumulate at 4 ×FLA,Capacity rises at 4.291 % per second from a cold start,,,,69.282@0.0,69.282@-120.0,69.282@120.0,,18.0000@-27.1,18.0000@-147.1,18.0000@92.9,,,,60.000,,yes,17.5 s to alarm,"Trip at 23.3 s · hold the current, do not interrupt it",,
49TC,Thermal capacity and lockout,Quick CMC,points,3,Accumulate at 6 ×FLA,Capacity rises at 10.011 % per second from a cold start,,,,69.282@0.0,69.282@-120.0,69.282@120.0,,27.0000@-27.1,27.0000@-147.1,27.0000@92.9,,,,60.000,,yes,7.49 s to alarm,"Trip at 9.99 s · hold the current, do not interrupt it",,
49TC,Thermal capacity and lockout,Quick CMC,points,4,Decay — 5 min stopped,"From 100% used, current removed, motor stopped. τ stopped is 30 min.",,,,0.000@0.0,0.000@-120.0,0.000@120.0,,0.0000@0.0,0.0000@0.0,0.0000@0.0,,,,60.000,,yes,84.6% remaining,Restart permitted below 100%,,
49TC,Thermal capacity and lockout,Quick CMC,points,5,Decay — 15 min stopped,"From 100% used, current removed, motor stopped. τ stopped is 30 min.",,,,0.000@0.0,0.000@-120.0,0.000@120.0,,0.0000@0.0,0.0000@0.0,0.0000@0.0,,,,60.000,,yes,60.7% remaining,Restart permitted below 100%,,
49TC,Thermal capacity and lockout,Quick CMC,points,6,Decay — 30 min stopped,"From 100% used, current removed, motor stopped. τ stopped is 30 min.",,,,0.000@0.0,0.000@-120.0,0.000@120.0,,0.0000@0.0,0.0000@0.0,0.0000@0.0,,,,60.000,,yes,36.8% remaining,Restart permitted below 100%,,
