# 889-GEN — Multilin 889 generator protection
# generated 2026-09-15 00:14 from 889.html
# configuration: mva=100; kv=13.8; pf=0.85; freq=60; rot=ABC; poles=2; xd=1.8; xdp=0.25; xdpp=0.18; x2=0.2; cttp=5000; ctts=5; ctnp=5000; ctns=5; ctgp=200; ctgs=5; vtp=13800; vts=120; vtc=wye; zsrc=I; zhold=5; ngtp=7970; ngts=240; gnd=hr; cmc=6x; imax=12.5; vmax=300
# All quantities are SECONDARY at the relay terminals. Angles in degrees, CCW positive, V L1 = 0.
# Values shown are for the tool's sample configuration — re-generate after entering real station data.
Element,ElementName,Group,TU_Module,DriveAs,Step,StepName,SeqRun,SeqState,SeqLabel,StateDuration_s,Channel,Magnitude,Unit,Angle_deg,Frequency_Hz,ChannelNote,Expected,ExpectedDetail,Verdict,CurrentNeededAt
87G,Generator differential,Differential & ground,Differential,characteristic,1,Irest 0.5 pu — above slope,,,,,V L1,69.282,V,0.00,60.000,,OPERATE,IT 0.500 pu · IN 0.390 pu,op,
87G,Generator differential,Differential & ground,Differential,characteristic,1,Irest 0.5 pu — above slope,,,,,V L2,69.282,V,-120.00,60.000,,OPERATE,IT 0.500 pu · IN 0.390 pu,op,
87G,Generator differential,Differential & ground,Differential,characteristic,1,Irest 0.5 pu — above slope,,,,,V L3,69.282,V,120.00,60.000,,OPERATE,IT 0.500 pu · IN 0.390 pu,op,
87G,Generator differential,Differential & ground,Differential,characteristic,1,Irest 0.5 pu — above slope,,,,,I A-L1,2.0918,A,0.00,60.000,,OPERATE,IT 0.500 pu · IN 0.390 pu,op,
87G,Generator differential,Differential & ground,Differential,characteristic,1,Irest 0.5 pu — above slope,,,,,I A-L2,2.0918,A,-120.00,60.000,,OPERATE,IT 0.500 pu · IN 0.390 pu,op,
87G,Generator differential,Differential & ground,Differential,characteristic,1,Irest 0.5 pu — above slope,,,,,I A-L3,2.0918,A,120.00,60.000,,OPERATE,IT 0.500 pu · IN 0.390 pu,op,
87G,Generator differential,Differential & ground,Differential,characteristic,1,Irest 0.5 pu — above slope,,,,,I B-L1,1.6316,A,180.00,60.000,,OPERATE,IT 0.500 pu · IN 0.390 pu,op,
87G,Generator differential,Differential & ground,Differential,characteristic,1,Irest 0.5 pu — above slope,,,,,I B-L2,1.6316,A,60.00,60.000,,OPERATE,IT 0.500 pu · IN 0.390 pu,op,
87G,Generator differential,Differential & ground,Differential,characteristic,1,Irest 0.5 pu — above slope,,,,,I B-L3,1.6316,A,-60.00,60.000,,OPERATE,IT 0.500 pu · IN 0.390 pu,op,
87G,Generator differential,Differential & ground,Differential,characteristic,2,Irest 0.5 pu — below slope,,,,,V L1,69.282,V,0.00,60.000,,RESTRAIN,IT 0.500 pu · IN 0.410 pu,no,
87G,Generator differential,Differential & ground,Differential,characteristic,2,Irest 0.5 pu — below slope,,,,,V L2,69.282,V,-120.00,60.000,,RESTRAIN,IT 0.500 pu · IN 0.410 pu,no,
87G,Generator differential,Differential & ground,Differential,characteristic,2,Irest 0.5 pu — below slope,,,,,V L3,69.282,V,120.00,60.000,,RESTRAIN,IT 0.500 pu · IN 0.410 pu,no,
87G,Generator differential,Differential & ground,Differential,characteristic,2,Irest 0.5 pu — below slope,,,,,I A-L1,2.0918,A,0.00,60.000,,RESTRAIN,IT 0.500 pu · IN 0.410 pu,no,
87G,Generator differential,Differential & ground,Differential,characteristic,2,Irest 0.5 pu — below slope,,,,,I A-L2,2.0918,A,-120.00,60.000,,RESTRAIN,IT 0.500 pu · IN 0.410 pu,no,
87G,Generator differential,Differential & ground,Differential,characteristic,2,Irest 0.5 pu — below slope,,,,,I A-L3,2.0918,A,120.00,60.000,,RESTRAIN,IT 0.500 pu · IN 0.410 pu,no,
87G,Generator differential,Differential & ground,Differential,characteristic,2,Irest 0.5 pu — below slope,,,,,I B-L1,1.7153,A,180.00,60.000,,RESTRAIN,IT 0.500 pu · IN 0.410 pu,no,
87G,Generator differential,Differential & ground,Differential,characteristic,2,Irest 0.5 pu — below slope,,,,,I B-L2,1.7153,A,60.00,60.000,,RESTRAIN,IT 0.500 pu · IN 0.410 pu,no,
87G,Generator differential,Differential & ground,Differential,characteristic,2,Irest 0.5 pu — below slope,,,,,I B-L3,1.7153,A,-60.00,60.000,,RESTRAIN,IT 0.500 pu · IN 0.410 pu,no,
87G,Generator differential,Differential & ground,Differential,characteristic,3,Irest 1 pu — above slope,,,,,V L1,69.282,V,0.00,60.000,,OPERATE,IT 1.000 pu · IN 0.890 pu,op,
87G,Generator differential,Differential & ground,Differential,characteristic,3,Irest 1 pu — above slope,,,,,V L2,69.282,V,-120.00,60.000,,OPERATE,IT 1.000 pu · IN 0.890 pu,op,
87G,Generator differential,Differential & ground,Differential,characteristic,3,Irest 1 pu — above slope,,,,,V L3,69.282,V,120.00,60.000,,OPERATE,IT 1.000 pu · IN 0.890 pu,op,
87G,Generator differential,Differential & ground,Differential,characteristic,3,Irest 1 pu — above slope,,,,,I A-L1,4.1837,A,0.00,60.000,,OPERATE,IT 1.000 pu · IN 0.890 pu,op,
87G,Generator differential,Differential & ground,Differential,characteristic,3,Irest 1 pu — above slope,,,,,I A-L2,4.1837,A,-120.00,60.000,,OPERATE,IT 1.000 pu · IN 0.890 pu,op,
87G,Generator differential,Differential & ground,Differential,characteristic,3,Irest 1 pu — above slope,,,,,I A-L3,4.1837,A,120.00,60.000,,OPERATE,IT 1.000 pu · IN 0.890 pu,op,
87G,Generator differential,Differential & ground,Differential,characteristic,3,Irest 1 pu — above slope,,,,,I B-L1,3.7235,A,180.00,60.000,,OPERATE,IT 1.000 pu · IN 0.890 pu,op,
87G,Generator differential,Differential & ground,Differential,characteristic,3,Irest 1 pu — above slope,,,,,I B-L2,3.7235,A,60.00,60.000,,OPERATE,IT 1.000 pu · IN 0.890 pu,op,
87G,Generator differential,Differential & ground,Differential,characteristic,3,Irest 1 pu — above slope,,,,,I B-L3,3.7235,A,-60.00,60.000,,OPERATE,IT 1.000 pu · IN 0.890 pu,op,
87G,Generator differential,Differential & ground,Differential,characteristic,4,Irest 1 pu — below slope,,,,,V L1,69.282,V,0.00,60.000,,RESTRAIN,IT 1.000 pu · IN 0.910 pu,no,
87G,Generator differential,Differential & ground,Differential,characteristic,4,Irest 1 pu — below slope,,,,,V L2,69.282,V,-120.00,60.000,,RESTRAIN,IT 1.000 pu · IN 0.910 pu,no,
87G,Generator differential,Differential & ground,Differential,characteristic,4,Irest 1 pu — below slope,,,,,V L3,69.282,V,120.00,60.000,,RESTRAIN,IT 1.000 pu · IN 0.910 pu,no,
87G,Generator differential,Differential & ground,Differential,characteristic,4,Irest 1 pu — below slope,,,,,I A-L1,4.1837,A,0.00,60.000,,RESTRAIN,IT 1.000 pu · IN 0.910 pu,no,
87G,Generator differential,Differential & ground,Differential,characteristic,4,Irest 1 pu — below slope,,,,,I A-L2,4.1837,A,-120.00,60.000,,RESTRAIN,IT 1.000 pu · IN 0.910 pu,no,
87G,Generator differential,Differential & ground,Differential,characteristic,4,Irest 1 pu — below slope,,,,,I A-L3,4.1837,A,120.00,60.000,,RESTRAIN,IT 1.000 pu · IN 0.910 pu,no,
87G,Generator differential,Differential & ground,Differential,characteristic,4,Irest 1 pu — below slope,,,,,I B-L1,3.8072,A,180.00,60.000,,RESTRAIN,IT 1.000 pu · IN 0.910 pu,no,
87G,Generator differential,Differential & ground,Differential,characteristic,4,Irest 1 pu — below slope,,,,,I B-L2,3.8072,A,60.00,60.000,,RESTRAIN,IT 1.000 pu · IN 0.910 pu,no,
87G,Generator differential,Differential & ground,Differential,characteristic,4,Irest 1 pu — below slope,,,,,I B-L3,3.8072,A,-60.00,60.000,,RESTRAIN,IT 1.000 pu · IN 0.910 pu,no,
87G,Generator differential,Differential & ground,Differential,characteristic,5,Irest 3 pu — above slope,,,,,V L1,69.282,V,0.00,60.000,,OPERATE,IT 3.000 pu · IN 2.670 pu,op,
87G,Generator differential,Differential & ground,Differential,characteristic,5,Irest 3 pu — above slope,,,,,V L2,69.282,V,-120.00,60.000,,OPERATE,IT 3.000 pu · IN 2.670 pu,op,
