# 889-GEN — Multilin 889 generator protection
# generated 2026-09-15 00:14 from 889.html
# configuration: mva=100; kv=13.8; pf=0.85; freq=60; rot=ABC; poles=2; xd=1.8; xdp=0.25; xdpp=0.18; x2=0.2; cttp=5000; ctts=5; ctnp=5000; ctns=5; ctgp=200; ctgs=5; vtp=13800; vts=120; vtc=wye; zsrc=I; zhold=5; ngtp=7970; ngts=240; gnd=hr; cmc=6x; imax=12.5; vmax=300
# All quantities are SECONDARY at the relay terminals. Angles in degrees, CCW positive, V L1 = 0.
# Values shown are for the tool's sample configuration — re-generate after entering real station data.
Element,ElementName,TU_Module,DriveAs,Step,StepName,WhatIsApplied,SeqRun,SeqState,StateDuration_s,V_L1,V_L2,V_L3,V_4,I_L1,I_L2,I_L3,I_B_L1,I_B_L2,I_B_L3,Freq_Hz,CurrentNeededAt,Reachable,Expected,ExpectedDetail,Measured,PassFail
87G,Generator differential,Differential,characteristic,1,Irest 0.5 pu — above slope,Idiff required 0.100 pu · applied 0.110 pu (+10%),,,,69.282@0.0,69.282@-120.0,69.282@120.0,,2.0918@0.0,2.0918@-120.0,2.0918@120.0,1.6316@180.0,1.6316@60.0,1.6316@-60.0,60.000,,yes,OPERATE,IT 0.500 pu · IN 0.390 pu,,
87G,Generator differential,Differential,characteristic,2,Irest 0.5 pu — below slope,Idiff required 0.100 pu · applied 0.090 pu (−10%),,,,69.282@0.0,69.282@-120.0,69.282@120.0,,2.0918@0.0,2.0918@-120.0,2.0918@120.0,1.7153@180.0,1.7153@60.0,1.7153@-60.0,60.000,,yes,RESTRAIN,IT 0.500 pu · IN 0.410 pu,,
87G,Generator differential,Differential,characteristic,3,Irest 1 pu — above slope,Idiff required 0.100 pu · applied 0.110 pu (+10%),,,,69.282@0.0,69.282@-120.0,69.282@120.0,,4.1837@0.0,4.1837@-120.0,4.1837@120.0,3.7235@180.0,3.7235@60.0,3.7235@-60.0,60.000,,yes,OPERATE,IT 1.000 pu · IN 0.890 pu,,
87G,Generator differential,Differential,characteristic,4,Irest 1 pu — below slope,Idiff required 0.100 pu · applied 0.090 pu (−10%),,,,69.282@0.0,69.282@-120.0,69.282@120.0,,4.1837@0.0,4.1837@-120.0,4.1837@120.0,3.8072@180.0,3.8072@60.0,3.8072@-60.0,60.000,,yes,RESTRAIN,IT 1.000 pu · IN 0.910 pu,,
87G,Generator differential,Differential,characteristic,5,Irest 3 pu — above slope,Idiff required 0.300 pu · applied 0.330 pu (+10%),,,,69.282@0.0,69.282@-120.0,69.282@120.0,,12.5511@0.0,12.5511@-120.0,12.5511@120.0,11.1705@180.0,11.1705@60.0,11.1705@-60.0,60.000,,yes,OPERATE,IT 3.000 pu · IN 2.670 pu,,
87G,Generator differential,Differential,characteristic,6,Irest 3 pu — below slope,Idiff required 0.300 pu · applied 0.270 pu (−10%),,,,69.282@0.0,69.282@-120.0,69.282@120.0,,12.5511@0.0,12.5511@-120.0,12.5511@120.0,11.4215@180.0,11.4215@60.0,11.4215@-60.0,60.000,,yes,RESTRAIN,IT 3.000 pu · IN 2.730 pu,,
87G,Generator differential,Differential,characteristic,7,Irest 7 pu — above slope,Idiff required 1.100 pu · applied 1.210 pu (+10%),,,,69.282@0.0,69.282@-120.0,69.282@120.0,,29.2859@0.0,29.2859@-120.0,29.2859@120.0,24.2236@180.0,24.2236@60.0,24.2236@-60.0,60.000,,yes,OPERATE,IT 7.000 pu · IN 5.790 pu,,
87G,Generator differential,Differential,characteristic,8,Irest 7 pu — below slope,Idiff required 1.100 pu · applied 0.990 pu (−10%),,,,69.282@0.0,69.282@-120.0,69.282@120.0,,29.2859@0.0,29.2859@-120.0,29.2859@120.0,25.1440@180.0,25.1440@60.0,25.1440@-60.0,60.000,,yes,RESTRAIN,IT 7.000 pu · IN 6.010 pu,,
87GN,Restricted ground fault,Quick CMC,points,1,Sensitivity — above pickup,"Ground CT input only, phase CTs at zero. Applied 0.110 ×CT.",,,,69.282@0.0,69.282@-120.0,69.282@120.0,,0.5500@0.0,,,,,,60.000,,yes,OPERATE,Operate time 0.00 s,,
87GN,Restricted ground fault,Quick CMC,points,2,Sensitivity — below pickup,"Ground CT input only, phase CTs at zero. Applied 0.090 ×CT.",,,,69.282@0.0,69.282@-120.0,69.282@120.0,,0.4500@0.0,,,,,,60.000,,yes,RESTRAIN,Operate time 0.00 s,,
