# 845-VEC — Multilin 845 transformer protection
# generated 2026-09-15 00:32 from 845.html
# configuration: mva=20; mva2=26.7; mva3=33.3; mvaBase=onan; kv1=115; kv2=13.8; freq=60; rot=ABC; w1c=D; w2c=YN; clk=1; z=8.5; xr=12; oltcW=1; oltcHi=10; oltcLo=10; oltcN=16; oltcPos=0; gnd1=none; gnd1v=0; gnd2=ngrA; gnd2v=400; ct1p=150; ct1s=5; ct1c=wye; ct2p=1200; ct2s=5; ct2c=wye; ctgp=200; ctgs=5; refw=2; vtp=13800; vts=120; vtc=wye; vtw=2; cmc=6x; imax=12.5; vmax=300
# All quantities are SECONDARY at the relay terminals. Angles in degrees, CCW positive, V L1 = 0.
# Values shown are for the tool's sample configuration — re-generate after entering real station data.
Element,ElementName,Group,TU_Module,DriveAs,Step,StepName,SeqRun,SeqState,SeqLabel,StateDuration_s,Channel,Magnitude,Unit,Angle_deg,Frequency_Hz,ChannelNote,Expected,ExpectedDetail,Verdict,CurrentNeededAt
87T,Percent differential,Differential,Differential,characteristic,1,Irest 0.5 pu — above slope,,,,,V L1,69.282,V,0.00,60.000,,OPERATE,IW1 0.500 pu · IW2 0.280 pu,op,
87T,Percent differential,Differential,Differential,characteristic,1,Irest 0.5 pu — above slope,,,,,V L2,69.282,V,-120.00,60.000,,OPERATE,IW1 0.500 pu · IW2 0.280 pu,op,
87T,Percent differential,Differential,Differential,characteristic,1,Irest 0.5 pu — above slope,,,,,V L3,69.282,V,120.00,60.000,,OPERATE,IW1 0.500 pu · IW2 0.280 pu,op,
87T,Percent differential,Differential,Differential,characteristic,1,Irest 0.5 pu — above slope,,,,,I A-L1,1.6735,A,0.00,60.000,,OPERATE,IW1 0.500 pu · IW2 0.280 pu,op,
87T,Percent differential,Differential,Differential,characteristic,1,Irest 0.5 pu — above slope,,,,,I A-L2,1.6735,A,-120.00,60.000,,OPERATE,IW1 0.500 pu · IW2 0.280 pu,op,
87T,Percent differential,Differential,Differential,characteristic,1,Irest 0.5 pu — above slope,,,,,I A-L3,1.6735,A,120.00,60.000,,OPERATE,IW1 0.500 pu · IW2 0.280 pu,op,
87T,Percent differential,Differential,Differential,characteristic,1,Irest 0.5 pu — above slope,,,,,I B-L1,0.9762,A,150.00,60.000,,OPERATE,IW1 0.500 pu · IW2 0.280 pu,op,
87T,Percent differential,Differential,Differential,characteristic,1,Irest 0.5 pu — above slope,,,,,I B-L2,0.9762,A,30.00,60.000,,OPERATE,IW1 0.500 pu · IW2 0.280 pu,op,
87T,Percent differential,Differential,Differential,characteristic,1,Irest 0.5 pu — above slope,,,,,I B-L3,0.9762,A,-90.00,60.000,,OPERATE,IW1 0.500 pu · IW2 0.280 pu,op,
87T,Percent differential,Differential,Differential,characteristic,2,Irest 0.5 pu — below slope,,,,,V L1,69.282,V,0.00,60.000,,RESTRAIN,IW1 0.500 pu · IW2 0.320 pu,no,
87T,Percent differential,Differential,Differential,characteristic,2,Irest 0.5 pu — below slope,,,,,V L2,69.282,V,-120.00,60.000,,RESTRAIN,IW1 0.500 pu · IW2 0.320 pu,no,
87T,Percent differential,Differential,Differential,characteristic,2,Irest 0.5 pu — below slope,,,,,V L3,69.282,V,120.00,60.000,,RESTRAIN,IW1 0.500 pu · IW2 0.320 pu,no,
87T,Percent differential,Differential,Differential,characteristic,2,Irest 0.5 pu — below slope,,,,,I A-L1,1.6735,A,0.00,60.000,,RESTRAIN,IW1 0.500 pu · IW2 0.320 pu,no,
87T,Percent differential,Differential,Differential,characteristic,2,Irest 0.5 pu — below slope,,,,,I A-L2,1.6735,A,-120.00,60.000,,RESTRAIN,IW1 0.500 pu · IW2 0.320 pu,no,
87T,Percent differential,Differential,Differential,characteristic,2,Irest 0.5 pu — below slope,,,,,I A-L3,1.6735,A,120.00,60.000,,RESTRAIN,IW1 0.500 pu · IW2 0.320 pu,no,
87T,Percent differential,Differential,Differential,characteristic,2,Irest 0.5 pu — below slope,,,,,I B-L1,1.1157,A,150.00,60.000,,RESTRAIN,IW1 0.500 pu · IW2 0.320 pu,no,
87T,Percent differential,Differential,Differential,characteristic,2,Irest 0.5 pu — below slope,,,,,I B-L2,1.1157,A,30.00,60.000,,RESTRAIN,IW1 0.500 pu · IW2 0.320 pu,no,
87T,Percent differential,Differential,Differential,characteristic,2,Irest 0.5 pu — below slope,,,,,I B-L3,1.1157,A,-90.00,60.000,,RESTRAIN,IW1 0.500 pu · IW2 0.320 pu,no,
87T,Percent differential,Differential,Differential,characteristic,3,Irest 1.5 pu — above slope,,,,,V L1,69.282,V,0.00,60.000,,OPERATE,IW1 1.500 pu · IW2 1.280 pu,op,
87T,Percent differential,Differential,Differential,characteristic,3,Irest 1.5 pu — above slope,,,,,V L2,69.282,V,-120.00,60.000,,OPERATE,IW1 1.500 pu · IW2 1.280 pu,op,
87T,Percent differential,Differential,Differential,characteristic,3,Irest 1.5 pu — above slope,,,,,V L3,69.282,V,120.00,60.000,,OPERATE,IW1 1.500 pu · IW2 1.280 pu,op,
87T,Percent differential,Differential,Differential,characteristic,3,Irest 1.5 pu — above slope,,,,,I A-L1,5.0204,A,0.00,60.000,,OPERATE,IW1 1.500 pu · IW2 1.280 pu,op,
87T,Percent differential,Differential,Differential,characteristic,3,Irest 1.5 pu — above slope,,,,,I A-L2,5.0204,A,-120.00,60.000,,OPERATE,IW1 1.500 pu · IW2 1.280 pu,op,
87T,Percent differential,Differential,Differential,characteristic,3,Irest 1.5 pu — above slope,,,,,I A-L3,5.0204,A,120.00,60.000,,OPERATE,IW1 1.500 pu · IW2 1.280 pu,op,
87T,Percent differential,Differential,Differential,characteristic,3,Irest 1.5 pu — above slope,,,,,I B-L1,4.4626,A,150.00,60.000,,OPERATE,IW1 1.500 pu · IW2 1.280 pu,op,
87T,Percent differential,Differential,Differential,characteristic,3,Irest 1.5 pu — above slope,,,,,I B-L2,4.4626,A,30.00,60.000,,OPERATE,IW1 1.500 pu · IW2 1.280 pu,op,
87T,Percent differential,Differential,Differential,characteristic,3,Irest 1.5 pu — above slope,,,,,I B-L3,4.4626,A,-90.00,60.000,,OPERATE,IW1 1.500 pu · IW2 1.280 pu,op,
87T,Percent differential,Differential,Differential,characteristic,4,Irest 1.5 pu — below slope,,,,,V L1,69.282,V,0.00,60.000,,RESTRAIN,IW1 1.500 pu · IW2 1.320 pu,no,
87T,Percent differential,Differential,Differential,characteristic,4,Irest 1.5 pu — below slope,,,,,V L2,69.282,V,-120.00,60.000,,RESTRAIN,IW1 1.500 pu · IW2 1.320 pu,no,
87T,Percent differential,Differential,Differential,characteristic,4,Irest 1.5 pu — below slope,,,,,V L3,69.282,V,120.00,60.000,,RESTRAIN,IW1 1.500 pu · IW2 1.320 pu,no,
87T,Percent differential,Differential,Differential,characteristic,4,Irest 1.5 pu — below slope,,,,,I A-L1,5.0204,A,0.00,60.000,,RESTRAIN,IW1 1.500 pu · IW2 1.320 pu,no,
87T,Percent differential,Differential,Differential,characteristic,4,Irest 1.5 pu — below slope,,,,,I A-L2,5.0204,A,-120.00,60.000,,RESTRAIN,IW1 1.500 pu · IW2 1.320 pu,no,
87T,Percent differential,Differential,Differential,characteristic,4,Irest 1.5 pu — below slope,,,,,I A-L3,5.0204,A,120.00,60.000,,RESTRAIN,IW1 1.500 pu · IW2 1.320 pu,no,
87T,Percent differential,Differential,Differential,characteristic,4,Irest 1.5 pu — below slope,,,,,I B-L1,4.6021,A,150.00,60.000,,RESTRAIN,IW1 1.500 pu · IW2 1.320 pu,no,
87T,Percent differential,Differential,Differential,characteristic,4,Irest 1.5 pu — below slope,,,,,I B-L2,4.6021,A,30.00,60.000,,RESTRAIN,IW1 1.500 pu · IW2 1.320 pu,no,
87T,Percent differential,Differential,Differential,characteristic,4,Irest 1.5 pu — below slope,,,,,I B-L3,4.6021,A,-90.00,60.000,,RESTRAIN,IW1 1.500 pu · IW2 1.320 pu,no,
87T,Percent differential,Differential,Differential,characteristic,5,Irest 3 pu — above slope,,,,,V L1,69.282,V,0.00,60.000,,OPERATE,IW1 3.000 pu · IW2 2.175 pu,op,
87T,Percent differential,Differential,Differential,characteristic,5,Irest 3 pu — above slope,,,,,V L2,69.282,V,-120.00,60.000,,OPERATE,IW1 3.000 pu · IW2 2.175 pu,op,
87T,Percent differential,Differential,Differential,characteristic,5,Irest 3 pu — above slope,,,,,V L3,69.282,V,120.00,60.000,,OPERATE,IW1 3.000 pu · IW2 2.175 pu,op,
87T,Percent differential,Differential,Differential,characteristic,5,Irest 3 pu — above slope,,,,,I A-L1,10.0409,A,0.00,60.000,,OPERATE,IW1 3.000 pu · IW2 2.175 pu,op,
87T,Percent differential,Differential,Differential,characteristic,5,Irest 3 pu — above slope,,,,,I A-L2,10.0409,A,-120.00,60.000,,OPERATE,IW1 3.000 pu · IW2 2.175 pu,op,
87T,Percent differential,Differential,Differential,characteristic,5,Irest 3 pu — above slope,,,,,I A-L3,10.0409,A,120.00,60.000,,OPERATE,IW1 3.000 pu · IW2 2.175 pu,op,
87T,Percent differential,Differential,Differential,characteristic,5,Irest 3 pu — above slope,,,,,I B-L1,7.5830,A,150.00,60.000,,OPERATE,IW1 3.000 pu · IW2 2.175 pu,op,
87T,Percent differential,Differential,Differential,characteristic,5,Irest 3 pu — above slope,,,,,I B-L2,7.5830,A,30.00,60.000,,OPERATE,IW1 3.000 pu · IW2 2.175 pu,op,
87T,Percent differential,Differential,Differential,characteristic,5,Irest 3 pu — above slope,,,,,I B-L3,7.5830,A,-90.00,60.000,,OPERATE,IW1 3.000 pu · IW2 2.175 pu,op,
87T,Percent differential,Differential,Differential,characteristic,6,Irest 3 pu — below slope,,,,,V L1,69.282,V,0.00,60.000,,RESTRAIN,IW1 3.000 pu · IW2 2.325 pu,no,
87T,Percent differential,Differential,Differential,characteristic,6,Irest 3 pu — below slope,,,,,V L2,69.282,V,-120.00,60.000,,RESTRAIN,IW1 3.000 pu · IW2 2.325 pu,no,
87T,Percent differential,Differential,Differential,characteristic,6,Irest 3 pu — below slope,,,,,V L3,69.282,V,120.00,60.000,,RESTRAIN,IW1 3.000 pu · IW2 2.325 pu,no,
87T,Percent differential,Differential,Differential,characteristic,6,Irest 3 pu — below slope,,,,,I A-L1,10.0409,A,0.00,60.000,,RESTRAIN,IW1 3.000 pu · IW2 2.325 pu,no,
87T,Percent differential,Differential,Differential,characteristic,6,Irest 3 pu — below slope,,,,,I A-L2,10.0409,A,-120.00,60.000,,RESTRAIN,IW1 3.000 pu · IW2 2.325 pu,no,
87T,Percent differential,Differential,Differential,characteristic,6,Irest 3 pu — below slope,,,,,I A-L3,10.0409,A,120.00,60.000,,RESTRAIN,IW1 3.000 pu · IW2 2.325 pu,no,
87T,Percent differential,Differential,Differential,characteristic,6,Irest 3 pu — below slope,,,,,I B-L1,8.1059,A,150.00,60.000,,RESTRAIN,IW1 3.000 pu · IW2 2.325 pu,no,
87T,Percent differential,Differential,Differential,characteristic,6,Irest 3 pu — below slope,,,,,I B-L2,8.1059,A,30.00,60.000,,RESTRAIN,IW1 3.000 pu · IW2 2.325 pu,no,
87T,Percent differential,Differential,Differential,characteristic,6,Irest 3 pu — below slope,,,,,I B-L3,8.1059,A,-90.00,60.000,,RESTRAIN,IW1 3.000 pu · IW2 2.325 pu,no,
87T,Percent differential,Differential,Differential,characteristic,7,Irest 7 pu — above slope,,,,,V L1,69.282,V,0.00,60.000,,OPERATE,IW1 7.000 pu · IW2 4.690 pu,op,
87T,Percent differential,Differential,Differential,characteristic,7,Irest 7 pu — above slope,,,,,V L2,69.282,V,-120.00,60.000,,OPERATE,IW1 7.000 pu · IW2 4.690 pu,op,
87T,Percent differential,Differential,Differential,characteristic,7,Irest 7 pu — above slope,,,,,V L3,69.282,V,120.00,60.000,,OPERATE,IW1 7.000 pu · IW2 4.690 pu,op,
87T,Percent differential,Differential,Differential,characteristic,7,Irest 7 pu — above slope,,,,,I A-L1,23.4287,A,0.00,60.000,,OPERATE,IW1 7.000 pu · IW2 4.690 pu,op,
87T,Percent differential,Differential,Differential,characteristic,7,Irest 7 pu — above slope,,,,,I A-L2,23.4287,A,-120.00,60.000,,OPERATE,IW1 7.000 pu · IW2 4.690 pu,op,
87T,Percent differential,Differential,Differential,characteristic,7,Irest 7 pu — above slope,,,,,I A-L3,23.4287,A,120.00,60.000,,OPERATE,IW1 7.000 pu · IW2 4.690 pu,op,
87T,Percent differential,Differential,Differential,characteristic,7,Irest 7 pu — above slope,,,,,I B-L1,16.3513,A,150.00,60.000,,OPERATE,IW1 7.000 pu · IW2 4.690 pu,op,
87T,Percent differential,Differential,Differential,characteristic,7,Irest 7 pu — above slope,,,,,I B-L2,16.3513,A,30.00,60.000,,OPERATE,IW1 7.000 pu · IW2 4.690 pu,op,
87T,Percent differential,Differential,Differential,characteristic,7,Irest 7 pu — above slope,,,,,I B-L3,16.3513,A,-90.00,60.000,,OPERATE,IW1 7.000 pu · IW2 4.690 pu,op,
87T,Percent differential,Differential,Differential,characteristic,8,Irest 7 pu — below slope,,,,,V L1,69.282,V,0.00,60.000,,RESTRAIN,IW1 7.000 pu · IW2 5.110 pu,no,
87T,Percent differential,Differential,Differential,characteristic,8,Irest 7 pu — below slope,,,,,V L2,69.282,V,-120.00,60.000,,RESTRAIN,IW1 7.000 pu · IW2 5.110 pu,no,
87T,Percent differential,Differential,Differential,characteristic,8,Irest 7 pu — below slope,,,,,V L3,69.282,V,120.00,60.000,,RESTRAIN,IW1 7.000 pu · IW2 5.110 pu,no,
87T,Percent differential,Differential,Differential,characteristic,8,Irest 7 pu — below slope,,,,,I A-L1,23.4287,A,0.00,60.000,,RESTRAIN,IW1 7.000 pu · IW2 5.110 pu,no,
87T,Percent differential,Differential,Differential,characteristic,8,Irest 7 pu — below slope,,,,,I A-L2,23.4287,A,-120.00,60.000,,RESTRAIN,IW1 7.000 pu · IW2 5.110 pu,no,
87T,Percent differential,Differential,Differential,characteristic,8,Irest 7 pu — below slope,,,,,I A-L3,23.4287,A,120.00,60.000,,RESTRAIN,IW1 7.000 pu · IW2 5.110 pu,no,
87T,Percent differential,Differential,Differential,characteristic,8,Irest 7 pu — below slope,,,,,I B-L1,17.8156,A,150.00,60.000,,RESTRAIN,IW1 7.000 pu · IW2 5.110 pu,no,
87T,Percent differential,Differential,Differential,characteristic,8,Irest 7 pu — below slope,,,,,I B-L2,17.8156,A,30.00,60.000,,RESTRAIN,IW1 7.000 pu · IW2 5.110 pu,no,
87T,Percent differential,Differential,Differential,characteristic,8,Irest 7 pu — below slope,,,,,I B-L3,17.8156,A,-90.00,60.000,,RESTRAIN,IW1 7.000 pu · IW2 5.110 pu,no,
87T-H,Harmonic inhibit,Differential,Harmonics,points,1,2nd — inrush — above threshold,,,,,V L1,69.282,V,0.00,60.000,,RESTRAIN,Differential 1.00 pu present throughout,no,
87T-H,Harmonic inhibit,Differential,Harmonics,points,1,2nd — inrush — above threshold,,,,,V L2,69.282,V,-120.00,60.000,,RESTRAIN,Differential 1.00 pu present throughout,no,
87T-H,Harmonic inhibit,Differential,Harmonics,points,1,2nd — inrush — above threshold,,,,,V L3,69.282,V,120.00,60.000,,RESTRAIN,Differential 1.00 pu present throughout,no,
87T-H,Harmonic inhibit,Differential,Harmonics,points,1,2nd — inrush — above threshold,,,,,I A-L1,3.3470,A,0.00,60.000,fundamental,RESTRAIN,Differential 1.00 pu present throughout,no,
87T-H,Harmonic inhibit,Differential,Harmonics,points,1,2nd — inrush — above threshold,,,,,I A-L1,0.7363,A,0.00,120.000,2nd harmonic — superimposed on the same output,RESTRAIN,Differential 1.00 pu present throughout,no,
87T-H,Harmonic inhibit,Differential,Harmonics,points,2,2nd — inrush — below threshold,,,,,V L1,69.282,V,0.00,60.000,,OPERATE,Differential 1.00 pu present throughout,op,
87T-H,Harmonic inhibit,Differential,Harmonics,points,2,2nd — inrush — below threshold,,,,,V L2,69.282,V,-120.00,60.000,,OPERATE,Differential 1.00 pu present throughout,op,
87T-H,Harmonic inhibit,Differential,Harmonics,points,2,2nd — inrush — below threshold,,,,,V L3,69.282,V,120.00,60.000,,OPERATE,Differential 1.00 pu present throughout,op,
87T-H,Harmonic inhibit,Differential,Harmonics,points,2,2nd — inrush — below threshold,,,,,I A-L1,3.3470,A,0.00,60.000,fundamental,OPERATE,Differential 1.00 pu present throughout,op,
